time,open,close,high,low,volume
2026-04-17 10:00:00,23.66,23.55,23.66,23.55,7110.704713268115
2026-04-17 11:00:00,23.45,23.43,23.45,23.42,847.37088812
2026-04-17 12:00:00,23.43,23.55,23.56,23.43,24465.93559802
2026-04-17 13:00:00,23.66,23.55,23.66,23.42,206082.87117527
2026-04-17 14:00:00,23.48,23.49,23.65,23.42,70733.76389914
2026-04-17 15:00:00,23.58,23.43,23.58,23.43,3396.6056530677524
2026-04-17 16:00:00,23.58,23.58,23.58,23.58,42408.82103478
2026-04-17 17:00:00,23.42,23.42,23.42,23.42,426.9854825
2026-04-17 18:00:00,23.43,23.43,23.43,23.43,225.56872186
2026-04-17 20:00:00,23.52,23.52,23.52,23.52,425.1700680272109
2026-04-17 21:00:00,23.52,23.42,23.52,23.42,6938.72140516
2026-04-17 23:00:00,23.56,23.54,23.56,23.54,13252.87580468
2026-04-18 00:00:00,23.4,23.21,23.49,23.09,94385.34063851
2026-04-18 01:00:00,23.36,23.34,23.36,23.04,10709.33826424082
2026-04-18 02:00:00,23.3,23.3,23.3,23.3,1236.4379
2026-04-18 03:00:00,23.23,23.3,23.3,23.17,6146.62077452
2026-04-18 04:00:00,23.4,23.52,23.52,23.3,24516.08091525
2026-04-18 05:00:00,23.5,23.51,23.51,23.5,2669.21335504
2026-04-18 06:00:00,23.5,23.51,23.51,23.29,28643.92686523
2026-04-18 07:00:00,23.51,23.53,23.53,23.5,28295.26791528
2026-04-18 08:00:00,23.43,23.45,23.52,23.41,52665.16924911
2026-04-18 09:00:00,23.41,23.37,23.41,23.37,19734.51082052
2026-04-18 10:00:00,23.34,23.35,23.35,23.29,23731.27714492
2026-04-18 12:00:00,23.45,23.53,24.71,23.4,3331293.594594898
2026-04-18 13:00:00,23.52,23.29,23.54,23.06,499375.9124596
2026-04-18 14:00:00,23.29,23.4,23.4,23.26,44029.27380576
2026-04-18 15:00:00,23.4,23.37,23.4,23.36,5807.60759759
2026-04-18 16:00:00,23.42,23.51,23.51,23.42,10255.18569117
2026-04-18 17:00:00,23.67,23.49,23.67,23.32,244534.80114972
2026-04-18 18:00:00,23.49,23.35,23.54,23.33,178682.26497301
2026-04-18 19:00:00,23.36,23.47,23.47,23.34,27474.93989682
2026-04-18 20:00:00,23.48,23.5,23.51,23.48,17166.00887386
2026-04-18 21:00:00,23.41,23.41,23.41,23.39,33445.21799356
2026-04-18 22:00:00,23.34,23.34,23.34,23.33,32747.9471
2026-04-18 23:00:00,23.35,23.41,23.41,23.35,3118.5032
2026-04-19 00:00:00,23.43,23.25,23.43,23.22,361836.9348664
2026-04-19 01:00:00,23.31,23.28,23.4,23.28,67223.75619017
2026-04-19 02:00:00,23.26,23.36,23.46,23.1,520132.76079254
2026-04-19 03:00:00,23.38,23.25,23.55,23.0,1117101.9538452
2026-04-19 04:00:00,23.27,23.19,23.34,23.1,134779.7762111
2026-04-19 05:00:00,23.34,23.39,23.5,23.24,394404.80053905
2026-04-19 06:00:00,23.44,23.41,23.63,23.39,189556.7873193
2026-04-19 07:00:00,23.68,23.63,23.99,23.51,651948.85246363
2026-04-19 08:00:00,23.75,23.41,24.27,23.27,634217.38026766
2026-04-19 09:00:00,23.3,23.28,23.5,23.26,217465.51309746
2026-04-19 10:00:00,23.27,23.28,23.32,23.27,63652.20481815
2026-04-19 11:00:00,23.5,23.46,23.5,23.46,59522.63689174
2026-04-19 12:00:00,23.43,23.49,23.56,23.43,238312.62622391
2026-04-19 13:00:00,23.54,23.5,23.56,23.32,61914.36269519
2026-04-19 14:00:00,23.56,23.4,23.63,23.35,236345.63127889
2026-04-19 15:00:00,23.4,23.4,23.4,23.4,10423.16924104
2026-04-19 16:00:00,23.4,23.39,23.4,23.35,30188.28475394
2026-04-19 18:00:00,23.42,23.42,23.42,23.42,422.47570765
2026-04-19 19:00:00,23.55,23.46,23.55,23.46,12854.43520593
2026-04-19 20:00:00,23.6,23.42,23.6,23.39,71297.5900208
2026-04-19 21:00:00,23.37,23.23,23.37,23.23,75898.400511
2026-04-19 22:00:00,23.22,22.93,23.22,22.93,262625.65098114
2026-04-19 23:00:00,22.84,22.95,22.95,22.75,75918.85871264
2026-04-20 00:00:00,22.96,22.96,22.96,22.96,2950.6376
2026-04-20 01:00:00,22.96,22.98,23.04,22.95,54730.63247711
2026-04-20 02:00:00,22.97,22.74,23.03,22.65,147318.55168047
2026-04-20 03:00:00,22.7,22.69,22.75,22.69,100683.91218978
2026-04-20 04:00:00,22.76,22.7,22.76,22.7,191826.2467599
2026-04-20 05:00:00,22.7,22.7,22.7,22.7,881.0572687224669
2026-04-20 06:00:00,22.7,22.53,22.75,22.53,112823.81725000753
2026-04-20 07:00:00,22.72,22.64,22.79,22.55,67715.81098236
2026-04-20 08:00:00,22.56,22.56,22.56,22.56,308.87720999
2026-04-20 09:00:00,22.58,22.67,22.67,22.58,36316.14286434
2026-04-20 10:00:00,22.82,22.82,22.82,22.82,2719.0
2026-04-20 11:00:00,22.81,22.72,22.83,22.71,426829.18222126
2026-04-20 12:00:00,22.73,22.82,22.82,22.73,5173.0065078
2026-04-20 13:00:00,22.83,22.89,22.99,22.83,168356.51486133
2026-04-20 14:00:00,22.89,22.88,22.89,22.7,4057.0
2026-04-20 15:00:00,22.81,22.76,22.86,22.61,42194.60137634
2026-04-20 16:00:00,22.7,22.71,22.71,22.7,5661.43496585
2026-04-20 17:00:00,22.8,22.87,22.87,22.8,438.1445661599563
2026-04-20 18:00:00,22.82,22.89,22.89,22.77,40416.4927609
2026-04-20 20:00:00,22.9,22.91,22.91,22.9,50891.301103
2026-04-20 21:00:00,22.82,22.99,22.99,22.82,70133.62792826
2026-04-20 22:00:00,22.99,22.99,22.99,22.99,2382.47454439
2026-04-20 23:00:00,22.99,22.93,22.99,22.86,53469.25586686
2026-04-21 00:00:00,22.93,22.82,22.93,22.82,20086.97722754
2026-04-21 01:00:00,22.82,22.82,22.82,22.82,49593.34261328
2026-04-21 02:00:00,22.91,22.82,22.91,22.82,33223.415815451765
2026-04-21 05:00:00,22.83,22.85,22.85,22.83,15675.0
2026-04-21 06:00:00,22.83,22.83,22.91,22.83,174548.84666797
2026-04-21 07:00:00,22.88,22.87,22.88,22.87,2353.0
2026-04-21 08:00:00,22.79,22.85,22.85,22.79,30657.0
2026-04-21 09:00:00,22.86,22.86,22.86,22.86,647.0
2026-04-21 10:00:00,22.79,22.78,22.87,22.77,178155.47298389
2026-04-21 11:00:00,22.78,23.12,23.13,22.78,129868.7829945
2026-04-21 12:00:00,22.84,22.83,22.84,22.83,5094.72312779
2026-04-21 13:00:00,22.8,22.8,22.8,22.8,48859.40867708
2026-04-21 17:00:00,23.13,23.13,23.13,23.13,432.33895374
2026-04-21 20:00:00,22.83,22.8,22.83,22.77,25625.28217794
2026-04-21 21:00:00,22.78,22.78,22.78,22.77,6011.43447015
2026-04-21 23:00:00,22.83,22.83,22.83,22.83,220.26968247
2026-04-22 00:00:00,23.02,22.88,23.32,22.88,351861.53704139
2026-04-22 01:00:00,22.93,22.96,23.05,22.93,19476.3859
2026-04-22 02:00:00,22.96,22.9,22.96,22.9,103784.33801296
2026-04-22 04:00:00,22.91,22.91,22.91,22.91,500.0
2026-04-22 05:00:00,23.01,22.95,23.33,22.95,67205.63296820174
2026-04-22 06:00:00,23.08,23.06,23.09,22.93,39293.0621156
2026-04-22 09:00:00,23.03,23.26,23.26,23.03,53990.02993602
2026-04-22 10:00:00,23.06,23.06,23.06,23.06,156807.29451723
2026-04-22 11:00:00,23.05,23.06,23.06,23.05,23615.70024064
2026-04-22 12:00:00,23.06,23.03,23.06,23.03,30616.18306634
2026-04-22 15:00:00,23.02,23.07,23.11,23.02,182775.49005867
2026-04-22 16:00:00,23.07,23.06,23.09,23.06,69408.83076312
2026-04-22 17:00:00,23.27,23.27,23.27,23.27,53587.23946472
2026-04-22 20:00:00,23.08,23.09,23.1,23.08,9269.5784
2026-04-22 21:00:00,23.09,23.08,23.22,23.08,50700.94541381
2026-04-22 22:00:00,23.08,23.08,23.08,23.08,694.444
