time,open,close,high,low,volume
2026-04-27 10:30:00,89.62,89.62,89.62,89.62,626.0
2026-04-27 10:55:00,89.35,89.18,89.35,89.18,500.0
2026-04-27 11:00:00,89.34,89.23,89.34,89.15,15169.04695752
2026-04-27 11:15:00,89.27,89.27,89.27,89.27,64.110228
2026-04-27 11:40:00,89.47,89.47,89.47,89.47,670.61584889
2026-04-27 12:00:00,89.72,89.72,89.72,89.72,207.19829
2026-04-27 12:05:00,89.94,89.94,89.94,89.94,654.6
2026-04-27 12:30:00,90.01,90.01,90.01,90.01,393.1
2026-04-27 13:30:00,89.78,89.78,89.78,89.78,2035.3
2026-04-27 13:40:00,89.71,89.7,90.06,89.7,2470.26928264
2026-04-27 13:45:00,89.44,89.44,89.44,89.44,2167.8236
2026-04-27 13:50:00,89.33,88.78,89.33,88.78,26736.10898342
2026-04-27 13:55:00,89.06,89.07,89.07,89.06,758.06422
2026-04-27 14:15:00,89.53,89.54,89.54,89.53,1116.89991255
2026-04-27 14:20:00,89.59,89.71,89.71,89.55,39137.56347278
2026-04-27 14:25:00,89.7,89.7,89.7,89.7,77.30951328
2026-04-27 14:30:00,89.47,89.14,89.47,89.14,63253.36122275
2026-04-27 14:35:00,89.35,90.15,90.15,89.35,1493.21812717
2026-04-27 14:45:00,89.91,89.91,89.91,89.91,557.839
2026-04-27 14:50:00,89.71,89.7,89.71,89.7,652.14969
2026-04-27 15:00:00,89.13,89.12,89.13,89.12,2203.803899
2026-04-27 15:05:00,89.13,89.6,89.6,89.12,25407.271001
2026-04-27 15:10:00,89.62,89.48,89.62,89.47,12894.9387
2026-04-27 15:15:00,89.03,89.03,89.03,89.03,224.6434
2026-04-27 15:20:00,88.9,88.82,88.9,88.6,24323.70072293
2026-04-27 15:25:00,89.11,88.86,89.11,88.51,3784.5978
2026-04-27 15:30:00,89.4,89.12,89.4,89.12,1853.86316325
2026-04-27 15:40:00,88.97,88.97,88.97,88.97,394.3
2026-04-27 15:45:00,88.77,88.77,88.77,88.77,536.5
2026-04-27 15:50:00,88.85,88.75,88.85,88.75,47096.2455
2026-04-27 15:55:00,88.94,88.94,88.94,88.94,137.4202
2026-04-27 16:20:00,88.76,88.75,88.76,88.75,1789.70917225
2026-04-27 17:10:00,88.56,88.5,88.56,88.49,219291.38407264
2026-04-27 17:50:00,88.99,88.99,88.99,88.99,408.69193725
2026-04-27 18:35:00,89.2,89.2,89.2,89.2,598.0
2026-04-27 19:00:00,89.16,89.16,89.16,89.16,587.0
2026-04-27 19:25:00,88.46,88.46,88.46,88.46,536.3
2026-04-27 19:30:00,88.63,89.14,89.14,88.63,1270.8
2026-04-27 19:45:00,89.07,89.07,89.07,89.07,66.967512
2026-04-27 20:00:00,89.08,89.1,89.1,89.08,154.190712
2026-04-27 21:25:00,89.14,89.14,89.14,89.14,180.0
2026-04-27 21:35:00,89.43,89.43,89.43,89.43,816.8
2026-04-27 21:40:00,89.53,89.53,89.53,89.53,2245.5
2026-04-27 21:45:00,89.45,89.45,89.45,89.45,1726.8
2026-04-27 21:50:00,89.5,89.5,89.5,89.5,196.5
2026-04-27 23:05:00,89.34,89.34,89.34,89.34,2883.0
2026-04-27 23:20:00,90.04,90.05,90.05,90.04,12099.75931486
2026-04-27 23:30:00,90.24,90.24,90.24,90.24,99.5
2026-04-27 23:35:00,90.21,90.21,90.21,90.21,1154.3
2026-04-27 23:45:00,90.48,90.48,90.48,90.48,110.52166225
2026-04-28 00:00:00,90.3,90.7,90.7,90.3,11565.4972
2026-04-28 00:05:00,90.71,90.71,90.71,90.71,1634.0
2026-04-28 00:10:00,90.73,90.72,90.73,90.7,114387.6402251
2026-04-28 00:15:00,90.78,90.84,90.86,90.78,27130.3015
2026-04-28 00:30:00,90.55,90.6,90.6,90.55,2023.488
2026-04-28 00:45:00,90.55,89.95,90.55,89.93,1685.564662
2026-04-28 00:50:00,90.2,90.2,90.2,90.2,676.0152
2026-04-28 00:55:00,90.2,90.27,90.27,90.2,717.66302
2026-04-28 01:15:00,90.09,90.04,90.09,90.04,2479.09250676
2026-04-28 01:20:00,90.05,90.05,90.05,90.05,361.575
2026-04-28 01:45:00,90.16,90.16,90.16,90.16,706.085
2026-04-28 01:50:00,90.51,90.51,90.51,90.51,171.0
2026-04-28 01:55:00,90.86,90.94,90.94,90.84,3591.8
2026-04-28 02:00:00,90.98,90.98,90.98,90.98,4088.0
2026-04-28 02:05:00,90.98,90.98,90.98,90.98,109.91426688
2026-04-28 02:15:00,90.95,90.95,90.95,90.95,109.95052227
2026-04-28 02:20:00,91.2,91.2,91.2,91.2,220.5072
2026-04-28 02:25:00,91.62,91.62,91.62,91.62,731.0
2026-04-28 02:35:00,90.83,90.78,90.83,90.78,783.0
2026-04-28 03:10:00,91.13,91.13,91.13,91.13,406.35
2026-04-28 03:15:00,90.92,90.92,90.92,90.92,100.67008491
2026-04-28 03:30:00,91.09,91.09,91.09,91.09,17328.0
2026-04-28 03:35:00,91.02,91.02,91.02,91.02,3312.0
2026-04-28 03:40:00,91.05,91.05,91.05,91.05,59.849799
2026-04-28 04:15:00,91.08,91.3,91.3,91.08,3306.975799
2026-04-28 04:45:00,91.23,91.23,91.23,91.23,136.30571331
2026-04-28 04:50:00,91.54,91.54,91.54,91.54,64.227182
2026-04-28 05:05:00,92.0,91.91,92.0,91.9,855.63001148
2026-04-28 05:25:00,91.84,91.42,91.84,91.4,6836.56941054
2026-04-28 05:35:00,91.46,91.51,91.51,91.46,218.61508985
2026-04-28 05:45:00,91.4,91.4,91.4,91.4,313.23223669
2026-04-28 06:00:00,91.05,91.05,91.05,91.05,106.39702712
2026-04-28 06:05:00,90.89,90.89,90.89,90.89,629.60297288
2026-04-28 07:15:00,90.18,90.18,90.18,90.15,2999.06178
2026-04-28 07:40:00,89.99,89.99,89.99,89.99,55.56172909
2026-04-28 08:10:00,90.24,90.24,90.24,90.24,369.75
2026-04-28 08:30:00,90.46,90.46,90.46,90.46,328.0
2026-04-28 08:35:00,90.5,90.5,90.5,90.5,1263.85542
2026-04-28 11:10:00,89.61,89.35,89.61,89.35,21000.0
2026-04-28 11:15:00,89.62,89.63,89.63,89.62,2230.15165032
2026-04-28 11:40:00,89.33,89.33,89.33,89.33,106.21348911
2026-04-28 12:00:00,89.41,89.41,89.41,89.41,598.0
2026-04-28 12:20:00,89.34,89.22,89.34,89.22,1298.60268193
2026-04-28 12:30:00,89.21,89.21,89.21,89.21,23257.101111
2026-04-28 14:10:00,89.3,89.29,89.3,89.29,1060.0
2026-04-28 15:05:00,89.18,89.17,89.18,89.17,1103.96773132
2026-04-28 15:40:00,89.07,89.07,89.07,89.07,456.1851789
2026-04-28 15:50:00,89.53,89.53,89.53,89.53,20000.0
2026-04-28 16:00:00,89.05,89.06,89.06,89.05,5967.6967
2026-04-28 16:05:00,89.01,88.98,89.03,88.98,9822.5866
2026-04-28 16:20:00,89.03,89.03,89.03,89.03,1894.0
2026-04-28 16:40:00,88.98,88.98,88.98,88.98,4850.9411
2026-04-28 16:50:00,88.69,88.68,88.69,88.68,54888.05457867
2026-04-28 17:15:00,88.91,88.37,88.91,88.37,3787.863765
2026-04-28 17:20:00,88.46,88.47,88.47,88.46,1797.58275941
2026-04-28 17:40:00,88.81,88.77,88.81,88.77,641.925638
2026-04-28 17:55:00,88.64,88.57,88.64,88.57,1839.925638
2026-04-28 18:30:00,88.78,88.79,88.79,88.78,2919.0
2026-04-28 18:35:00,88.56,88.53,88.75,81.81,98513.71767837
2026-04-28 18:40:00,88.6,88.61,88.61,88.6,890.9
2026-04-28 18:45:00,88.47,88.47,88.47,88.47,1022.999962
2026-04-28 18:50:00,88.47,88.59,88.59,88.47,310.185738
2026-04-28 19:05:00,88.75,88.75,88.75,88.75,4844.2906854
2026-04-28 20:10:00,88.62,88.62,88.62,88.62,1248.04033798
2026-04-28 20:25:00,88.31,88.31,88.31,88.31,519.776453
2026-04-28 20:35:00,88.42,88.42,88.42,88.42,3173.8
2026-04-28 20:45:00,88.41,88.41,88.41,88.41,3210.1
2026-04-28 21:25:00,88.52,88.77,88.77,88.52,12635.1744
2026-04-28 21:35:00,88.54,88.53,88.54,88.53,2756.909908
2026-04-28 21:55:00,88.5,88.5,88.5,88.5,149.18635614
2026-04-28 22:10:00,88.42,88.42,88.42,88.42,312.0
2026-04-28 22:50:00,88.33,88.6,88.78,88.11,20005.92955136
2026-04-28 23:50:00,88.15,88.15,88.15,88.15,1033.49858446
2026-04-29 00:30:00,87.77,87.77,87.77,87.77,1162.720252
2026-04-29 00:35:00,87.47,87.45,87.47,87.45,5827.34805028
2026-04-29 00:50:00,87.72,87.72,87.72,87.72,5000.0
2026-04-29 01:05:00,87.71,87.53,87.71,87.53,341.1
2026-04-29 01:25:00,87.62,87.62,87.62,87.62,251.68760363
2026-04-29 01:45:00,87.64,87.69,87.69,87.64,291.46047686
2026-04-29 01:50:00,87.72,87.72,87.72,87.72,508.6
2026-04-29 01:55:00,87.51,87.5,87.51,87.5,6868.57142857
2026-04-29 02:10:00,87.75,87.79,87.79,87.75,7224.2384
2026-04-29 02:25:00,87.78,87.78,87.78,87.78,1899.9
2026-04-29 02:30:00,87.53,87.65,87.65,87.53,3620.36079889
2026-04-29 03:05:00,87.41,87.6,87.6,87.28,186701.60930828
2026-04-29 03:25:00,87.78,88.18,88.18,87.78,24627.868073
2026-04-29 04:20:00,88.34,88.35,88.35,88.33,47212.627463
2026-04-29 04:30:00,88.49,88.49,88.49,88.49,1139.11176405
2026-04-29 05:20:00,88.4,88.4,88.41,88.4,6696.10667203
2026-04-29 05:25:00,87.91,88.6,88.6,87.91,8384.08760903
2026-04-29 05:55:00,87.83,87.83,87.83,87.83,110.39914249
2026-04-29 06:50:00,88.53,88.53,88.53,88.53,5000.0
2026-04-29 08:25:00,88.07,88.23,88.23,88.07,44844.0
2026-04-29 08:35:00,88.57,89.24,89.24,88.53,5967.20343735
2026-04-29 08:40:00,89.2,88.93,89.2,88.93,2537.47576625
2026-04-29 08:50:00,89.25,89.25,89.25,89.25,628.0
2026-04-29 08:55:00,89.2,89.21,89.21,89.2,1550.567813
2026-04-29 09:00:00,89.19,88.91,89.19,88.91,895.0
2026-04-29 09:15:00,89.36,89.36,89.36,89.36,128.245159
2026-04-29 09:25:00,89.41,89.48,89.6,89.41,3336.583216
2026-04-29 09:45:00,89.11,89.12,89.12,89.11,795.804058
2026-04-29 09:50:00,89.45,89.5,89.5,89.45,5153.42763166
2026-04-29 10:30:00,89.46,89.46,89.46,89.46,64.359108
2026-04-29 10:35:00,89.24,89.25,89.25,88.95,12178.20739713
2026-04-29 10:50:00,89.01,89.01,89.01,89.01,78.82352942
2026-04-29 11:00:00,89.22,89.23,89.23,89.22,1081.5
2026-04-29 11:20:00,89.25,89.32,89.38,89.25,3077.96293201
2026-04-29 11:45:00,89.4,89.4,89.4,89.4,61.85788
2026-04-29 11:50:00,89.27,89.28,89.28,89.27,6753.0
2026-04-29 11:55:00,89.19,89.18,89.19,89.18,643.662728
2026-04-29 12:05:00,88.68,88.5,88.77,88.5,1665.514993
2026-04-29 12:15:00,88.41,88.41,88.41,88.41,759.0
2026-04-29 12:20:00,88.26,88.26,88.26,88.25,4749.4458
2026-04-29 12:25:00,88.03,88.03,88.03,88.03,405.15
2026-04-29 12:40:00,88.25,88.25,88.25,88.25,197.68225
2026-04-29 12:45:00,88.37,88.37,88.37,88.37,397.575
2026-04-29 13:00:00,88.49,88.49,88.49,88.49,726.45
2026-04-29 13:20:00,88.44,88.44,88.44,88.44,8425.0935
2026-04-29 13:25:00,88.35,88.35,88.35,88.35,118.04243975
2026-04-29 13:30:00,88.01,88.0,88.01,88.0,647.81343975
2026-04-29 13:35:00,87.99,87.98,87.99,87.98,1059.542
2026-04-29 13:45:00,87.92,87.92,87.92,87.92,113.68804002
2026-04-29 14:00:00,87.92,87.84,87.92,87.84,7461.976446
2026-04-29 14:50:00,88.19,88.19,88.19,88.19,1454.836
2026-04-29 15:05:00,87.98,87.98,88.02,87.9,25696.4345
2026-04-29 15:10:00,87.94,87.7,87.94,87.7,8027.33592585
2026-04-29 15:35:00,87.33,87.22,87.43,87.22,13854.09009147
2026-04-29 15:40:00,87.2,87.29,87.29,87.2,4486.2945
2026-04-29 15:50:00,87.0,87.0,87.0,87.0,1435.3246202
2026-04-29 16:00:00,87.21,87.21,87.21,87.21,2278.6114
