time,open,close,high,low,volume
2026-03-07 13:00:00,1.223,1.216,1.223,1.216,104965.45622683
2026-03-07 14:00:00,1.215,1.215,1.215,1.215,7135.0
2026-03-07 15:00:00,1.222,1.223,1.223,1.222,10224.77198128
2026-03-07 19:00:00,1.215,1.22,1.22,1.208,1159941.19979703
2026-03-07 21:00:00,1.219,1.22,1.22,1.219,11401.96078432
2026-03-07 22:00:00,1.219,1.218,1.22,1.218,412747.1812587
2026-03-07 23:00:00,1.218,1.218,1.218,1.218,246305.41871921
2026-03-08 01:00:00,1.216,1.22,1.22,1.216,161396.04827348
2026-03-08 02:00:00,1.22,1.227,1.227,1.217,1492859.08713989
2026-03-08 03:00:00,1.217,1.216,1.227,1.216,29612.57654251
2026-03-08 04:00:00,1.227,1.235,1.235,1.227,885137.31811779
2026-03-08 05:00:00,1.228,1.239,1.239,1.224,3937077.212442703
2026-03-08 06:00:00,1.239,1.237,1.239,1.223,4135990.605007312
2026-03-08 07:00:00,1.222,1.237,1.237,1.222,870996.00439885
2026-03-08 08:00:00,1.227,1.233,1.235,1.224,956394.6441703
2026-03-08 10:00:00,1.233,1.233,1.233,1.233,5.1e-05
2026-03-08 12:00:00,1.232,1.233,1.233,1.222,619354.44611664
2026-03-08 13:00:00,1.233,1.236,1.236,1.228,328999.911116317
2026-03-08 14:00:00,1.236,1.226,1.244,1.224,5309744.97335487
2026-03-08 15:00:00,1.23,1.234,1.235,1.22,2668297.66163606
2026-03-08 16:00:00,1.236,1.236,1.236,1.236,4490.33816426
2026-03-08 17:00:00,1.236,1.237,1.237,1.236,704614.37868268
2026-03-08 19:00:00,1.229,1.237,1.237,1.229,64695.13972657872
2026-03-08 21:00:00,1.237,1.239,1.239,1.228,1804578.31325302
2026-03-08 22:00:00,1.229,1.224,1.238,1.213,2002804.09261549
2026-03-08 23:00:00,1.22,1.208,1.22,1.207,5937252.57153004
2026-03-09 00:00:00,1.208,1.218,1.218,1.205,4194024.99526468
2026-03-09 01:00:00,1.218,1.218,1.218,1.218,8841.60698418
2026-03-09 02:00:00,1.218,1.216,1.222,1.216,633874.54048193
2026-03-09 03:00:00,1.212,1.216,1.216,1.202,3165303.22665931
2026-03-09 04:00:00,1.206,1.205,1.206,1.205,623165.92483281
2026-03-09 05:00:00,1.213,1.218,1.218,1.205,1436845.76084581
2026-03-09 06:00:00,1.219,1.226,1.226,1.219,1796614.49963998
2026-03-09 07:00:00,1.226,1.227,1.227,1.226,5700.0
2026-03-09 10:00:00,1.227,1.232,1.232,1.227,2137062.37652622
2026-03-09 11:00:00,1.217,1.211,1.217,1.211,1062785.00442205
2026-03-09 12:00:00,1.216,1.252,1.255,1.216,4363969.280308923
2026-03-09 13:00:00,1.252,1.254,1.255,1.23,2350490.41511304
2026-03-09 14:00:00,1.255,1.257,1.257,1.232,2355777.62815715
2026-03-09 15:00:00,1.256,1.256,1.257,1.231,1706682.23308125
2026-03-09 16:00:00,1.232,1.255,1.257,1.232,190599.86350218
2026-03-09 17:00:00,1.255,1.255,1.255,1.255,10912.6984127
2026-03-09 18:00:00,1.243,1.255,1.255,1.242,2221027.90139954
2026-03-09 20:00:00,1.238,1.254,1.254,1.238,107027.77777778
2026-03-09 22:00:00,1.254,1.255,1.255,1.254,104412.18354431
2026-03-09 23:00:00,1.243,1.252,1.252,1.24,1518079.04135979
2026-03-10 00:00:00,1.241,1.237,1.241,1.237,941020.52753448
2026-03-10 01:00:00,1.237,1.237,1.237,1.237,14539.38375429
2026-03-10 03:00:00,1.237,1.24,1.24,1.237,548264.03193887
2026-03-10 07:00:00,1.243,1.243,1.243,1.24,14735.201634499952
2026-03-10 08:00:00,1.243,1.242,1.256,1.24,3243172.1018236103
2026-03-10 09:00:00,1.248,1.245,1.255,1.244,1500971.783333236
2026-03-10 10:00:00,1.254,1.254,1.254,1.254,40330.74990013
2026-03-10 11:00:00,1.251,1.244,1.251,1.244,2389006.51617137
2026-03-10 12:00:00,1.253,1.256,1.256,1.253,329814.51001972
2026-03-10 14:00:00,1.246,1.245,1.246,1.245,50000.0
2026-03-10 15:00:00,1.254,1.241,1.254,1.241,1832266.11896438
2026-03-10 16:00:00,1.241,1.24,1.241,1.24,400000.0
2026-03-10 17:00:00,1.254,1.254,1.254,1.254,4412.23193011
2026-03-10 20:00:00,1.238,1.253,1.253,1.236,304436.75417662
2026-03-10 21:00:00,1.252,1.237,1.255,1.237,570216.19433199
2026-03-10 22:00:00,1.254,1.254,1.255,1.236,116904.67425311
2026-03-10 23:00:00,1.236,1.234,1.254,1.234,1222681.97252394
2026-03-11 00:00:00,1.234,1.234,1.234,1.234,217957.51700786
2026-03-11 01:00:00,1.234,1.251,1.251,1.229,584583.59872612
2026-03-11 02:00:00,1.252,1.252,1.252,1.235,209980.90439169
2026-03-11 03:00:00,1.235,1.231,1.235,1.231,21257.61293976
2026-03-11 05:00:00,1.232,1.225,1.232,1.225,362300.45802404
2026-03-11 07:00:00,1.246,1.246,1.246,1.246,4450.91779729
2026-03-11 08:00:00,1.227,1.227,1.227,1.227,48939.6411093
2026-03-11 09:00:00,1.233,1.231,1.233,1.231,400000.0
2026-03-11 10:00:00,1.232,1.21,1.232,1.21,7644854.09810735
2026-03-11 11:00:00,1.218,1.223,1.223,1.218,414765.30501041
2026-03-11 12:00:00,1.223,1.229,1.229,1.223,509902.84254527
2026-03-11 14:00:00,1.217,1.236,1.244,1.215,22715000.12496088
2026-03-11 15:00:00,1.244,1.278,1.482,1.236,535079630.517476
2026-03-11 16:00:00,1.276,1.28,1.282,1.261,9827373.279971896
2026-03-11 17:00:00,1.284,1.272,1.284,1.272,425993.555698
2026-03-11 18:00:00,1.274,1.268,1.274,1.268,1018823.77389858
2026-03-11 19:00:00,1.269,1.255,1.269,1.255,14755168.48613018
2026-03-11 20:00:00,1.268,1.288,1.288,1.257,10427447.84583318
2026-03-11 21:00:00,1.276,1.403,1.43,1.275,402178552.8386529
2026-03-11 22:00:00,1.398,1.331,1.473,1.313,498797172.1591556
2026-03-11 23:00:00,1.337,1.297,1.347,1.27,130559537.07363716
2026-03-12 00:00:00,1.297,1.256,1.297,1.25,38868567.84628815
2026-03-12 01:00:00,1.258,1.246,1.269,1.242,26025117.09564743
2026-03-12 02:00:00,1.244,1.25,1.255,1.236,16761453.6159362
2026-03-12 03:00:00,1.247,1.244,1.263,1.241,12779654.324923066
