time,open,close,high,low,volume
2026-04-30 00:45:00,14.25,14.25,14.25,14.25,1048.31347237
2026-04-30 03:30:00,14.25,14.25,14.25,14.25,119822.33332419
2026-04-30 03:40:00,14.24,14.24,14.24,14.24,2106.74157304
2026-04-30 05:15:00,14.23,14.23,14.23,14.23,2999.0121626
2026-04-30 07:10:00,14.23,14.23,14.23,14.23,696.38423339
2026-04-30 10:25:00,14.29,14.29,14.29,14.29,1399.58012597
2026-04-30 22:00:00,14.28,14.3,14.3,14.28,37244.1656
2026-05-01 00:25:00,14.26,14.26,14.26,14.26,489.9955
2026-05-01 00:45:00,14.36,14.35,14.38,14.35,153589.49170921
2026-05-01 03:10:00,14.35,14.35,14.35,14.35,1393.728223
2026-05-01 04:30:00,14.42,14.42,14.42,14.42,13869.62552012
2026-05-01 05:10:00,14.42,14.3,14.42,14.3,852.2580763
2026-05-01 08:00:00,14.28,14.28,14.28,14.28,910.36414566
2026-05-01 12:15:00,14.4,14.41,14.41,14.4,78193.35559724
2026-05-01 12:20:00,14.41,14.41,14.41,14.41,23409.52884593
2026-05-01 14:15:00,14.32,14.32,14.32,14.32,6304.9454965
2026-05-01 15:10:00,14.29,14.29,14.29,14.29,1228.15664
2026-05-01 22:50:00,14.41,14.41,14.41,14.41,385.49618321
2026-05-02 01:15:00,14.41,14.42,14.42,14.41,10520.92376548
2026-05-02 01:20:00,14.42,14.42,14.42,14.42,36019.52123851
2026-05-02 05:00:00,14.31,14.31,14.31,14.31,36019.52123851
2026-05-02 06:35:00,14.31,14.31,14.31,14.31,27439.8534
2026-05-02 09:40:00,14.31,14.28,14.31,14.28,19365.87902441
2026-05-02 10:55:00,14.27,14.26,14.27,14.26,10520.92376548
2026-05-02 12:30:00,14.26,14.26,14.26,14.26,701.26227209
2026-05-02 14:20:00,14.26,14.26,14.26,14.26,611.94751381
2026-05-02 15:45:00,14.3,14.26,14.3,14.26,800.2268
2026-05-02 17:15:00,14.3,14.31,14.31,14.3,20162.604084
2026-05-02 18:30:00,14.32,14.32,14.32,14.32,698.812
2026-05-02 18:35:00,14.26,14.26,14.26,14.26,698.812
2026-05-03 01:30:00,14.27,14.27,14.27,14.27,50138.50745849
2026-05-03 02:50:00,14.28,14.28,14.28,14.28,412.03131438
2026-05-03 06:00:00,14.35,14.35,14.35,14.35,42029.67841718
2026-05-03 07:30:00,14.36,14.36,14.36,14.36,53572.05871115
2026-05-03 11:45:00,14.28,14.28,14.28,14.28,762.4135259
2026-05-03 11:50:00,14.27,14.27,14.27,14.27,630.86727916
2026-05-03 12:40:00,14.35,14.35,14.35,14.35,68516.57893593
2026-05-03 15:20:00,14.35,14.27,14.35,14.27,4170.592334487386
2026-05-03 16:50:00,14.35,14.35,14.35,14.35,1041.7421602787456
2026-05-03 18:05:00,14.33,14.33,14.33,14.33,348.98813678
2026-05-03 21:20:00,14.35,14.35,14.35,14.35,70890.99550774
2026-05-04 02:30:00,14.28,14.28,14.28,14.28,700.28011205
2026-05-04 02:50:00,14.28,14.26,14.28,14.26,109467.43805294
2026-05-04 03:10:00,14.27,14.26,14.27,14.26,103862.77266849
2026-05-04 03:15:00,14.26,14.23,14.26,14.23,301429.76405299
2026-05-04 04:15:00,14.33,14.34,14.34,14.33,81829.17879638
2026-05-04 06:05:00,14.23,14.22,14.23,14.22,19769.2718125
2026-05-04 06:55:00,14.22,14.22,14.22,14.22,258492.585573
2026-05-04 10:30:00,14.32,14.22,14.32,14.22,813.94711204
2026-05-04 13:55:00,14.32,14.32,14.32,14.32,698.32402235
2026-05-04 14:30:00,14.24,14.24,14.24,14.24,351.12359551
2026-05-04 14:35:00,14.24,14.24,14.24,14.24,573.63598732
2026-05-04 14:45:00,14.25,14.25,14.25,14.25,913.0616
2026-05-04 15:40:00,14.33,14.33,14.33,14.33,348.91835311
2026-05-04 16:45:00,14.24,14.24,14.24,14.24,5144.0634538
2026-05-04 21:35:00,14.24,14.24,14.24,14.24,96610.70188937
2026-05-04 22:10:00,14.23,14.23,14.23,14.23,10432.91802348
2026-05-04 22:20:00,14.23,14.22,14.23,14.22,170650.41080352
2026-05-04 23:05:00,14.24,14.24,14.24,14.24,110858.17777868
2026-05-04 23:35:00,14.24,14.23,14.24,14.23,43668.7683823
2026-05-04 23:45:00,14.23,14.23,14.23,14.23,96024.84837577
2026-05-05 00:00:00,14.23,14.23,14.23,14.23,88827.92853822
2026-05-05 00:10:00,14.23,14.23,14.23,14.23,59620.529636
2026-05-05 00:15:00,14.22,14.22,14.22,14.22,117035.6572787
2026-05-05 00:35:00,14.22,14.22,14.22,14.22,84115.11915778
2026-05-05 02:45:00,14.3,14.3,14.3,14.3,1329.7274825
2026-05-05 03:45:00,14.23,14.23,14.23,14.23,543.1323185
2026-05-05 05:25:00,14.23,14.37,14.37,14.23,105093.59823094
2026-05-05 05:50:00,14.37,14.37,14.37,14.37,54310.70969927
2026-05-05 06:55:00,14.32,14.32,14.32,14.32,61361.47062512
2026-05-05 07:05:00,14.32,14.34,14.34,14.32,42379.8230556
2026-05-05 07:10:00,14.34,14.34,14.34,14.34,2.07e-05
2026-05-05 08:55:00,14.36,14.35,14.36,14.35,50636.34129693
2026-05-05 09:25:00,14.41,14.41,14.41,14.41,38066.94229035
2026-05-05 09:55:00,14.42,14.43,14.43,14.42,83558.05304994
2026-05-05 10:20:00,14.43,14.43,14.43,14.43,2785.009812
2026-05-05 10:40:00,14.41,14.41,14.41,14.41,5254.61364207
2026-05-05 11:05:00,14.4,14.4,14.4,14.4,416.66666667
2026-05-05 11:50:00,14.39,14.4,14.4,14.39,134365.56178996
2026-05-05 12:10:00,14.38,14.38,14.39,14.38,54718.0266274
2026-05-05 12:15:00,14.32,14.38,14.38,14.32,2363.08666555
2026-05-05 13:45:00,14.38,14.28,14.38,14.28,317784.52565185
2026-05-05 13:50:00,14.27,14.27,14.27,14.27,3477.05143018
2026-05-05 13:55:00,14.26,14.51,14.51,14.25,16620.683296275674
2026-05-05 14:20:00,14.37,14.37,14.37,14.37,2020.1947
2026-05-05 15:10:00,14.29,14.46,14.46,14.28,6967.2163366892255
2026-05-05 15:25:00,14.38,14.38,14.38,14.38,485.7738
2026-05-05 18:30:00,14.36,14.36,14.36,14.36,16711.6106
2026-05-05 20:25:00,14.28,14.28,14.28,14.28,56267.86890409
2026-05-05 21:10:00,14.3,14.3,14.3,14.3,6854.00959562
2026-05-06 00:25:00,14.43,14.47,14.47,14.43,43589.12776705
2026-05-06 00:30:00,14.47,14.47,14.47,14.47,22576.31663756
2026-05-06 00:50:00,14.47,14.47,14.47,14.47,9893.92448388
2026-05-06 00:55:00,14.47,14.42,14.54,14.3,84724.74944501938
2026-05-06 01:00:00,14.41,14.42,14.42,14.41,9087.41349967
2026-05-06 01:05:00,14.33,14.33,14.33,14.33,1174.01520387
2026-05-06 01:15:00,14.3,14.28,14.31,14.28,188401.92581682
2026-05-06 03:20:00,14.28,14.28,14.28,14.28,13402.12889894
2026-05-06 03:40:00,14.43,14.34,14.43,14.34,16771.156464
2026-05-06 04:40:00,14.36,14.37,14.38,14.36,96494.0034198
2026-05-06 05:00:00,14.37,14.28,14.37,14.28,107829.3685566
2026-05-06 07:25:00,14.29,14.27,14.29,14.27,70890.99550774
2026-05-06 08:30:00,14.37,14.48,14.48,14.37,14151.46343855
2026-05-06 08:35:00,14.53,14.64,14.64,14.53,25284.387939651693
2026-05-06 08:50:00,14.48,14.62,14.62,14.48,17679.890560875512
2026-05-06 09:10:00,14.38,14.57,14.57,14.38,691.98430315
2026-05-06 09:20:00,14.37,14.31,14.37,14.21,204768.96412243
2026-05-06 09:25:00,14.31,14.32,14.32,14.31,28020.49346215
2026-05-06 09:55:00,14.36,14.36,14.36,14.36,348.18941504178275
2026-05-06 10:35:00,14.36,14.36,14.38,14.36,140262.81217918
2026-05-06 11:10:00,14.27,14.18,14.27,14.18,28290.65344172
2026-05-06 11:15:00,14.2,14.2,14.2,14.2,3301.3204236
2026-05-06 11:20:00,14.36,14.38,14.38,14.36,260354.4401
2026-05-06 11:25:00,14.28,14.27,14.38,14.27,2026.037752
2026-05-06 11:35:00,14.28,14.26,14.37,14.2,5052.02070371
2026-05-06 12:30:00,14.37,14.37,14.37,14.37,2020.1947
2026-05-06 12:40:00,14.29,14.29,14.29,14.29,471.65525676
2026-05-06 12:55:00,14.35,14.35,14.35,14.35,3484.32057875
2026-05-06 13:00:00,14.3,14.3,14.3,14.3,3484.32057875
2026-05-06 16:05:00,14.29,14.29,14.29,14.29,21250.0
2026-05-06 17:25:00,14.47,14.47,14.47,14.47,447.38255034
2026-05-06 23:40:00,14.28,14.28,14.28,14.28,8845.4275
2026-05-06 23:45:00,14.28,14.28,14.28,14.28,781.7195
2026-05-07 00:45:00,14.28,14.28,14.28,14.28,140639.26716921
2026-05-07 01:00:00,14.28,14.27,14.28,14.27,15497.74711257
2026-05-07 02:00:00,14.2,14.2,14.2,14.2,1760.38313917
2026-05-07 02:40:00,14.34,14.34,14.34,14.34,697.35006974
2026-05-07 03:05:00,14.32,14.32,14.32,14.32,698.32402235
2026-05-07 03:35:00,14.31,14.32,14.32,14.31,11976.03285238
2026-05-07 05:00:00,14.19,14.31,14.31,14.19,1986.65269043
2026-05-07 05:10:00,14.31,14.31,14.31,14.31,690.60773481
2026-05-07 07:05:00,14.29,14.29,14.29,14.29,353.39398181
2026-05-07 09:25:00,14.32,14.32,14.32,14.32,1565.79238957
2026-05-07 10:45:00,14.36,14.36,14.36,14.36,1041.89387256
2026-05-07 11:30:00,14.36,14.36,14.36,14.36,348.18941505
2026-05-07 12:30:00,14.21,14.21,14.21,14.21,21170.0
2026-05-07 12:45:00,14.36,14.36,14.36,14.36,1392.75766017
2026-05-07 13:05:00,14.21,14.25,14.25,14.21,26850.351375
2026-05-07 13:50:00,14.25,14.25,14.25,14.25,57595.66435335
2026-05-07 14:35:00,14.25,14.25,14.25,14.25,91235.29590657
2026-05-07 15:15:00,14.25,14.25,14.25,14.25,62601.75584008
2026-05-07 15:40:00,14.25,14.25,14.25,14.25,500.0
2026-05-07 17:00:00,14.21,14.25,14.25,14.1,88693.00075934
2026-05-07 17:25:00,14.23,14.23,14.23,14.23,1000.0
2026-05-07 18:35:00,14.23,14.23,14.23,14.23,70274.06886859
2026-05-07 19:35:00,14.12,14.12,14.12,14.12,3002.87876799
2026-05-07 21:30:00,14.25,14.25,14.25,14.25,1023.02139388
2026-05-07 21:40:00,14.25,14.25,14.25,14.25,1028.90143063
2026-05-07 23:45:00,14.25,14.25,14.25,14.25,70175.4385965
2026-05-08 04:50:00,14.2,14.2,14.2,14.2,1408.45070423
2026-05-08 05:05:00,14.26,14.26,14.26,14.26,350.63113605
2026-05-08 07:10:00,14.26,14.26,14.26,14.26,736.3253857
2026-05-08 12:05:00,14.26,14.26,14.26,14.26,520.92769478
2026-05-08 14:25:00,14.26,14.27,14.27,14.26,10061.19510996
2026-05-08 18:15:00,14.37,14.37,14.37,14.37,3490.78581997
2026-05-08 18:35:00,14.45,14.46,14.46,14.45,68169.75541781
2026-05-08 19:20:00,14.46,14.46,14.46,14.46,1379.60768893
2026-05-08 21:50:00,14.45,14.46,14.46,14.45,100619.40584224
2026-05-08 23:45:00,14.46,14.32,14.46,14.32,13370.539419083569
2026-05-09 00:10:00,14.45,14.45,14.45,14.45,345.78146612
2026-05-09 00:35:00,14.46,14.45,14.48,14.45,53183.00057995643
2026-05-09 01:35:00,14.57,14.57,14.57,14.57,686.3417982155113
2026-05-09 01:40:00,14.44,14.57,14.57,14.44,66752.46325021
2026-05-09 01:45:00,14.58,14.58,14.58,14.58,73238.83291177
2026-05-09 02:50:00,14.57,14.49,14.6,14.49,217735.9171158
2026-05-09 03:45:00,14.48,14.48,14.48,14.48,2020.1947
2026-05-09 04:10:00,14.5,14.5,14.5,14.5,559.7931034482758
2026-05-09 04:15:00,14.5,14.5,14.5,14.5,26717.71092481
2026-05-09 05:05:00,14.5,14.5,14.5,14.5,398.86490669
2026-05-09 06:30:00,14.5,14.5,14.5,14.5,11724.13793104
2026-05-09 07:00:00,14.39,14.39,14.39,14.39,921.5944032
2026-05-09 07:25:00,14.5,14.5,14.5,14.5,69336.07360908
2026-05-09 07:40:00,14.39,14.39,14.39,14.39,69336.07360908
2026-05-09 07:45:00,14.5,14.5,14.5,14.5,13244.1814997
2026-05-09 14:15:00,14.37,14.38,14.38,14.31,186503.76241359
2026-05-09 21:45:00,14.47,14.46,14.48,14.46,168047.0153
2026-05-09 22:15:00,14.37,14.37,14.37,14.37,348.91835311
2026-05-09 22:20:00,14.48,14.47,14.48,14.47,9497.64607401
2026-05-09 22:25:00,14.41,14.38,14.48,14.38,13587.37019998
2026-05-09 22:55:00,14.5,14.4,14.5,14.4,38705.82168685
2026-05-09 23:00:00,14.4,14.4,14.4,14.4,3455.42666759
2026-05-09 23:15:00,14.43,14.42,14.48,14.42,11228.34556344
2026-05-09 23:20:00,14.42,14.46,14.47,14.41,12958.4461091
2026-05-09 23:25:00,14.39,14.39,14.44,14.39,5185.52713921
2026-05-09 23:45:00,14.48,14.48,14.48,14.48,3450.0
2026-05-09 23:55:00,14.48,14.48,14.48,14.48,3453.03863702
2026-05-10 00:00:00,14.42,14.45,14.48,14.42,4830.01165952
2026-05-10 00:05:00,14.48,14.48,14.48,14.48,383.72814303
2026-05-10 00:35:00,14.37,14.37,14.37,14.37,1400.56754665
2026-05-10 00:50:00,14.47,14.45,14.47,14.43,17284.29363455
2026-05-10 01:10:00,14.49,14.49,14.49,14.49,345.0655624568668
2026-05-10 02:40:00,14.49,14.49,14.49,14.49,348.51621809
2026-05-10 03:35:00,14.48,14.37,14.48,14.37,10000.110453580774
2026-05-10 04:55:00,14.46,14.47,14.47,14.44,30419.93371454
2026-05-10 05:00:00,14.38,14.47,14.47,14.37,32138.02321454
2026-05-10 05:10:00,14.47,14.5,14.5,14.47,137557.76077048
2026-05-10 05:20:00,14.58,14.6,14.6,14.58,34554.2666759
2026-05-10 05:40:00,14.6,14.6,14.6,14.6,7829.11468966
2026-05-10 05:55:00,14.6,14.61,14.61,14.6,40105.9006
2026-05-10 06:00:00,14.61,14.68,14.68,14.61,8947.57100591
2026-05-10 06:20:00,14.68,14.7,14.7,14.68,2870.1947
2026-05-10 07:20:00,14.7,14.7,14.7,14.7,7.673e-05
2026-05-10 07:40:00,14.7,14.7,14.7,14.7,340.13605443
2026-05-10 08:05:00,14.7,14.7,14.7,14.7,2729.10064101
2026-05-10 08:10:00,14.77,14.77,14.77,14.77,61248.30104832
2026-05-10 09:05:00,14.78,14.78,14.78,14.78,3898.53436583
2026-05-10 09:10:00,14.78,14.78,14.78,14.78,26101.46563417
2026-05-10 09:45:00,14.71,14.71,14.71,14.71,8748.77151091
2026-05-10 09:50:00,14.72,14.72,14.72,14.72,21030.0
2026-05-10 10:00:00,14.7,14.7,14.7,14.7,8748.77151091
2026-05-10 10:35:00,14.73,14.73,14.73,14.73,22696.51736238
2026-05-10 11:10:00,14.7,14.7,14.7,14.7,35211.26760564
2026-05-10 13:05:00,14.79,14.79,14.79,14.79,44403.32569522
2026-05-10 13:30:00,14.7,14.7,14.78,14.7,6770.59925781
2026-05-10 14:00:00,14.7,14.7,14.7,14.7,343.53741497
2026-05-10 14:15:00,14.69,14.69,14.69,14.69,343.53741497
2026-05-10 15:00:00,14.7,14.58,14.7,14.58,44403.32569522
2026-05-10 15:05:00,14.64,14.64,14.64,14.64,821.35523614
2026-05-10 15:25:00,14.69,14.69,14.69,14.69,340.36759701
2026-05-10 15:45:00,14.69,14.69,14.69,14.69,1679.82710299
2026-05-10 16:25:00,14.7,14.7,14.7,14.7,4319.88029585
2026-05-10 17:50:00,14.78,14.78,14.78,14.78,338.29499324
2026-05-10 20:25:00,14.7,14.7,14.7,14.7,398.86490669
2026-05-10 21:35:00,14.7,14.7,14.7,14.7,5498.94875889
2026-05-10 23:45:00,14.7,14.7,14.7,14.7,4124.21156916
2026-05-11 00:05:00,14.7,14.7,14.7,14.7,1031.05289229
2026-05-11 00:10:00,14.78,14.79,14.79,14.78,203557.69598865
2026-05-11 00:15:00,14.79,14.8,14.8,14.79,39494.42027348
2026-05-11 00:20:00,14.89,15.5,15.5,14.89,622832.7177628948
2026-05-11 00:25:00,15.35,14.96,15.35,14.96,46046.5980844
2026-05-11 00:30:00,15.16,15.19,15.19,14.91,7599.78432537
2026-05-11 00:40:00,15.14,15.14,15.14,15.14,328.94736843
2026-05-11 00:50:00,15.25,15.05,15.25,14.99,20910.99628178
2026-05-11 01:00:00,14.95,14.95,15.05,14.95,45857.82509594
2026-05-11 01:40:00,14.91,14.91,14.91,14.91,1040.55537075
2026-05-11 01:50:00,14.92,14.92,14.92,14.92,16733.7353
2026-05-11 02:05:00,14.92,14.89,14.92,14.89,169247.63634338
2026-05-11 02:30:00,14.79,14.79,14.79,14.79,1670.40816327
2026-05-11 03:05:00,14.79,14.72,14.79,14.72,1684.0093
2026-05-11 03:15:00,14.72,14.72,14.72,14.72,4002.6684
2026-05-11 03:20:00,14.78,14.78,14.78,14.78,338.29499324
2026-05-11 03:30:00,14.72,14.72,14.72,14.72,1334.2228
2026-05-11 03:35:00,14.71,14.71,14.71,14.71,447.3826047
2026-05-11 03:40:00,14.71,14.71,14.71,14.71,37610.29320386
2026-05-11 03:55:00,14.82,14.82,14.82,14.82,1349.527
2026-05-11 04:00:00,14.82,14.71,14.82,14.71,2709.1463066
2026-05-11 04:05:00,14.7,14.7,14.7,14.7,34911.23920386
2026-05-11 04:25:00,14.7,14.7,14.7,14.7,8578.42279547
2026-05-11 05:40:00,14.82,14.71,14.82,14.71,1013.0588259
2026-05-11 05:55:00,14.75,14.75,14.75,14.75,6923.45814156
2026-05-11 06:25:00,14.81,14.81,14.81,14.81,2000.0
2026-05-11 06:30:00,14.81,14.75,14.81,14.75,1486.976303890054
2026-05-11 06:35:00,14.81,14.81,14.81,14.81,34590.093
2026-05-11 06:40:00,14.73,14.73,14.73,14.73,191643.78831446
2026-05-11 07:15:00,14.73,14.73,14.73,14.73,351.77865612
2026-05-11 07:25:00,14.73,14.7,14.73,14.7,202208.80322027
2026-05-11 07:55:00,14.81,14.88,14.88,14.81,1822.42355757
2026-05-11 10:00:00,14.71,14.71,14.71,14.71,4500.0
2026-05-11 10:25:00,14.81,14.81,14.81,14.81,337.94733288
2026-05-11 10:35:00,14.81,14.81,14.81,14.81,3382.22640562
2026-05-11 11:35:00,14.76,14.76,14.76,14.76,4500.0
2026-05-11 12:05:00,14.81,14.88,14.88,14.81,25147.20499148
2026-05-11 13:00:00,14.89,15.07,15.08,14.89,59214.00023475
2026-05-11 13:05:00,15.07,15.49,15.49,15.01,245741.26941312
2026-05-11 13:10:00,15.49,15.69,15.7,15.49,1194428.6014679251
2026-05-11 13:15:00,15.69,15.67,15.79,15.54,325899.0257045
2026-05-11 13:20:00,15.28,15.42,15.43,15.26,143362.8975435
2026-05-11 13:25:00,15.42,15.43,15.43,15.42,37574.40174559
2026-05-11 13:30:00,15.43,15.5,15.63,15.43,40418.07490363
2026-05-11 13:35:00,15.4,15.38,15.4,15.38,126786.55964725
2026-05-11 13:40:00,15.37,15.38,15.38,15.37,16046.9902
2026-05-11 13:55:00,15.22,15.32,15.32,15.19,87930.88816282
2026-05-11 14:00:00,15.38,15.41,15.41,15.36,50863.32428576
2026-05-11 14:05:00,15.46,15.91,16.06,15.46,3768044.42214965
2026-05-11 14:10:00,15.91,15.72,16.05,15.5,1591482.6357428625
2026-05-11 14:15:00,15.73,15.64,15.94,15.62,1086020.5901604558
2026-05-11 14:20:00,15.63,15.52,15.87,15.5,1181167.3415180063
2026-05-11 14:25:00,15.52,15.65,15.69,15.5,195367.18460535
2026-05-11 14:30:00,15.64,15.19,15.64,15.19,780368.29296317
2026-05-11 14:35:00,15.29,15.39,15.39,15.24,404503.5284912178
2026-05-11 14:40:00,15.36,15.37,15.37,15.36,42009.94293333
2026-05-11 14:45:00,15.37,15.21,15.37,15.21,404788.25731921
2026-05-11 14:50:00,15.36,15.3,15.37,15.22,32342.45447689
2026-05-11 14:55:00,15.35,15.41,15.54,15.35,119070.78367323
2026-05-11 15:00:00,15.2,15.19,15.28,15.15,345703.27205591
2026-05-11 15:05:00,15.18,15.18,15.27,15.15,284499.19947746
2026-05-11 15:10:00,15.22,15.19,15.22,15.13,132664.65479327
2026-05-11 15:15:00,15.01,14.92,15.01,14.92,125522.54966189
2026-05-11 15:20:00,15.01,15.01,15.01,15.01,1954.1942415
2026-05-11 15:30:00,14.92,15.05,15.05,14.92,69564.42531594
2026-05-11 15:35:00,15.01,15.0,15.01,15.0,309155.0475082
2026-05-11 15:40:00,14.98,14.99,14.99,14.82,447701.47590968
2026-05-11 15:50:00,15.0,15.0,15.0,14.92,4040.3460437
2026-05-11 15:55:00,15.01,15.01,15.01,15.01,335.45576408
2026-05-11 16:15:00,15.01,15.14,15.14,15.01,761.8808215
2026-05-11 16:25:00,15.18,14.98,15.18,14.98,980.64288814
2026-05-11 16:30:00,14.96,14.96,14.96,14.96,53475.93582888
2026-05-11 16:40:00,14.96,15.01,15.01,14.83,187756.79692802
2026-05-11 16:45:00,14.98,14.98,14.98,14.85,23037.6526647
2026-05-11 16:50:00,14.96,14.98,14.98,14.96,22843.6658
2026-05-11 17:00:00,15.0,15.0,15.0,15.0,2000.0
2026-05-11 17:05:00,15.0,14.97,15.0,14.97,733.57782964
2026-05-11 17:10:00,15.0,14.97,15.0,14.97,4270.82899574
2026-05-11 17:15:00,14.98,15.1,15.17,14.98,2134.74610049
2026-05-11 17:20:00,15.04,15.0,15.05,14.97,1996.06570227
2026-05-11 17:25:00,15.09,15.09,15.09,15.09,364.60059662
2026-05-11 17:35:00,15.15,15.15,15.15,15.15,562.96552348
2026-05-11 17:40:00,15.14,15.14,15.14,15.04,1458.7871589
2026-05-11 17:45:00,15.04,15.15,15.15,15.04,1457.94249662
2026-05-11 17:50:00,15.07,15.15,15.15,15.06,1820.97002103
2026-05-11 17:55:00,15.14,15.07,15.15,15.07,10414.26797792
2026-05-11 18:00:00,15.15,15.14,15.15,15.05,1092.6087589
2026-05-11 18:10:00,15.05,15.05,15.05,15.05,100000.0
2026-05-11 18:25:00,15.06,15.06,15.06,15.06,365.5699568
2026-05-11 18:35:00,15.15,15.15,15.15,15.15,362.9165292
2026-05-11 19:45:00,15.06,15.06,15.06,15.06,332.00531209
2026-05-11 20:45:00,15.07,15.07,15.07,15.07,365.32713384
2026-05-11 20:55:00,15.15,15.15,15.15,15.15,362.9165292
2026-05-11 21:10:00,15.05,15.05,15.05,15.05,5829.208
2026-05-11 21:15:00,15.05,15.05,15.05,15.05,2334.68800388
2026-05-11 21:25:00,15.14,15.14,15.14,15.14,363.15615715
2026-05-11 21:55:00,15.11,15.15,15.15,15.11,1654.26959647
2026-05-11 22:00:00,15.15,15.06,15.15,15.06,728.60620363
2026-05-11 22:05:00,15.07,15.0,15.07,15.0,47377.19205439
2026-05-11 22:15:00,15.06,15.0,15.06,15.0,732.11833363
2026-05-11 22:20:00,15.05,15.06,15.16,15.05,4113.12973185
2026-05-11 22:25:00,15.06,15.07,15.09,15.05,24494.75770237
