time,open,close,high,low,volume
2026-03-28 17:00:00,27.24,27.23,27.28,27.1,313355.20859566
2026-03-28 18:00:00,27.23,27.2,27.23,27.2,51351.5842746
2026-03-28 19:00:00,27.28,27.19,27.28,27.19,15368.82110201
2026-03-28 21:00:00,27.12,27.03,27.14,27.0,233916.14058727
2026-03-28 22:00:00,27.04,27.1,27.1,26.95,88081.75846362
2026-03-28 23:00:00,27.01,26.78,27.01,26.77,249774.6881493
2026-03-29 00:00:00,26.8,27.09,27.27,26.77,3769960.40504878
2026-03-29 01:00:00,27.09,26.9,27.13,26.82,1106662.72781534
2026-03-29 02:00:00,26.88,26.87,26.92,26.77,124634.22452758
2026-03-29 03:00:00,26.93,26.99,27.02,26.86,310024.51883473
2026-03-29 04:00:00,27.04,26.94,27.11,26.94,14957.52529503
2026-03-29 05:00:00,26.94,26.93,26.95,26.87,329352.50830852
2026-03-29 06:00:00,27.01,26.98,27.04,26.98,190548.82969832
2026-03-29 07:00:00,26.94,26.94,26.94,26.94,1262.0
2026-03-29 08:00:00,26.95,27.02,27.02,26.94,41748.12466391
2026-03-29 09:00:00,27.02,27.02,27.02,27.02,20170.59497813
2026-03-29 10:00:00,26.93,26.68,26.95,26.53,1331727.77712275
2026-03-29 11:00:00,26.71,26.63,26.72,26.46,533185.48164922
2026-03-29 12:00:00,26.62,26.42,26.66,26.31,526749.40571499
2026-03-29 13:00:00,26.5,26.46,26.5,26.33,170270.52770395
2026-03-29 14:00:00,26.46,26.5,26.56,26.43,136947.20550329
2026-03-29 15:00:00,26.56,26.46,26.57,26.39,194727.37264689
2026-03-29 23:00:00,26.56,26.58,26.66,26.48,325402.65503118
2026-03-30 00:00:00,26.58,26.64,26.91,26.55,1565630.65853718
2026-03-30 01:00:00,26.75,27.07,27.09,26.69,787690.02170052
2026-03-30 02:00:00,27.0,27.06,27.27,26.95,201107.84998368
2026-03-30 03:00:00,27.16,27.3,27.34,27.14,455381.03164705
2026-03-30 04:00:00,27.28,27.4,27.44,27.27,176343.53654461
