time,open,close,high,low,volume
2026-03-22 20:00:00,9.65,9.65,9.65,9.65,111757.83047494
2026-03-22 21:00:00,9.65,9.692,9.692,9.65,43515.88939332
2026-03-22 22:00:00,9.707,9.707,9.707,9.707,27390.4709741
2026-03-22 23:00:00,9.651,9.601,9.651,9.601,181409.71083189
2026-03-23 00:00:00,9.603,9.555,9.603,9.555,528218.49617229
2026-03-23 01:00:00,9.556,9.55,9.594,9.55,544171.91407118
2026-03-23 02:00:00,9.54,9.396,9.54,9.351,613412.9059351155
2026-03-23 03:00:00,9.426,9.481,9.481,9.397,82588.15470184399
2026-03-23 04:00:00,9.471,9.538,9.538,9.471,142443.26106092
2026-03-23 06:00:00,9.539,9.539,9.539,9.539,104832.79169725
2026-03-23 07:00:00,9.54,9.43,9.559,9.43,231412.0
2026-03-23 08:00:00,9.438,9.4,9.438,9.399,259699.37286132
2026-03-23 09:00:00,9.4,9.485,9.485,9.361,122276.52142336
2026-03-23 10:00:00,9.482,9.485,9.485,9.44,261357.84160716
2026-03-23 11:00:00,9.41,9.376,9.54,9.374,383288.29213251
2026-03-23 12:00:00,9.411,9.537,9.538,9.382,326873.53385557
2026-03-23 13:00:00,9.423,9.609,9.609,9.423,30097.46699227
2026-03-23 14:00:00,9.609,9.508,9.651,9.502,703501.75475625
2026-03-23 15:00:00,9.512,9.46,9.567,9.46,303182.88672971
2026-03-23 16:00:00,9.431,9.43,9.431,9.43,21000.0
2026-03-23 17:00:00,9.43,9.453,9.453,9.4,380601.50162674
2026-03-23 18:00:00,9.4,9.365,9.4,9.365,247515.91117368
2026-03-23 19:00:00,9.365,9.42,9.42,9.361,172329.58574267
2026-03-23 21:00:00,9.363,9.521,9.521,9.36,588840.56717429
2026-03-23 23:00:00,9.52,9.52,9.52,9.52,2100.84033614
2026-03-24 00:00:00,9.374,9.477,9.477,9.368,46262.55559792
2026-03-24 01:00:00,9.371,9.352,9.371,9.352,551767.42489908
2026-03-24 02:00:00,9.351,9.392,9.393,9.345,351632.36797275
2026-03-24 03:00:00,9.355,9.286,9.355,9.286,632770.12350561
2026-03-24 04:00:00,9.348,9.281,9.348,9.281,239290.9618628
2026-03-24 05:00:00,9.281,9.347,9.347,9.28,204791.11974308
2026-03-24 06:00:00,9.363,9.364,9.364,9.363,12497.18000047
2026-03-24 07:00:00,9.294,9.284,9.294,9.281,93900.37504207
2026-03-24 08:00:00,9.287,9.375,9.375,9.286,230431.95237183
2026-03-24 10:00:00,9.377,9.377,9.377,9.377,26542.5271204
2026-03-24 11:00:00,9.384,9.34,9.395,9.34,75566.34304208
2026-03-24 13:00:00,9.389,9.34,9.39,9.34,254045.82422081
2026-03-24 15:00:00,9.343,9.333,9.394,9.333,64940.01852247
2026-03-24 16:00:00,9.334,9.334,9.334,9.334,10027.83120246
2026-03-24 18:00:00,9.35,9.35,9.35,9.35,29770.39167351
2026-03-24 21:00:00,9.35,9.331,9.35,9.331,23229.60832649
2026-03-24 22:00:00,9.393,9.33,9.393,9.33,107321.13612005
2026-03-24 23:00:00,9.332,9.28,9.332,9.28,104000.0
2026-03-25 00:00:00,9.344,9.28,9.344,9.28,284394.85552561
2026-03-25 01:00:00,9.343,9.343,9.343,9.343,47516.55059077
2026-03-25 02:00:00,9.282,9.25,9.3,9.25,160067.6982592
2026-03-25 03:00:00,9.299,9.267,9.341,9.267,101375.91053939
2026-03-25 04:00:00,9.331,9.33,9.331,9.33,270980.77064917
2026-03-25 05:00:00,9.33,9.33,9.33,9.33,35691.31832797
2026-03-25 07:00:00,9.266,9.329,9.329,9.266,9705.64090722
2026-03-25 09:00:00,9.329,9.33,9.33,9.329,239499.02351676
2026-03-25 10:00:00,9.33,9.33,9.33,9.33,68438.00403324
2026-03-25 11:00:00,9.331,9.352,9.352,9.33,77095.67806568
2026-03-25 13:00:00,9.305,9.353,9.354,9.305,64957.15784115
2026-03-25 15:00:00,9.378,9.319,9.38,9.318,243256.15940916
2026-03-25 16:00:00,9.317,9.43,9.43,9.315,112000.0
2026-03-25 17:00:00,9.317,9.383,9.383,9.311,66532.70828895
2026-03-25 18:00:00,9.379,9.38,9.38,9.379,128903.00900201
2026-03-25 19:00:00,9.393,9.403,9.403,9.393,268.0
2026-03-25 21:00:00,9.406,9.426,9.43,9.406,23346.13565712852
2026-03-25 22:00:00,9.344,9.343,9.344,9.343,10705.49191736
2026-03-25 23:00:00,9.427,9.43,9.43,9.398,212768.1304108
2026-03-26 00:00:00,9.42,9.442,9.442,9.355,87402.37594928
2026-03-26 01:00:00,9.37,9.421,9.421,9.351,1730.67289323
2026-03-26 02:00:00,9.41,9.41,9.41,9.41,6627.42718124
2026-03-26 03:00:00,9.353,9.353,9.353,9.353,47522.41449794
2026-03-26 04:00:00,9.415,9.421,9.421,9.415,30990.93366254
2026-03-26 05:00:00,9.351,9.187,9.421,9.17,1152426.458403035
2026-03-26 06:00:00,9.175,9.173,9.245,9.173,181233.19807551545
2026-03-26 07:00:00,9.2,9.24,9.24,9.2,1084.603802
2026-03-26 08:00:00,9.239,9.24,9.24,9.239,54118.41108346
2026-03-26 09:00:00,9.286,9.286,9.286,9.286,22538.44497092397
