time,open,close,high,low,volume
2026-02-27 13:00:00,73.55,72.16,74.32,71.84,745259.21190091
2026-02-27 14:00:00,72.03,72.59,72.82,72.03,355599.66366974
2026-02-27 15:00:00,72.83,72.47,73.36,72.34,190729.55620518
2026-02-27 16:00:00,72.46,71.65,72.46,71.55,417177.24064823
2026-02-27 17:00:00,71.41,72.45,72.45,70.81,510122.53276775
2026-02-27 18:00:00,72.17,71.76,72.76,71.76,144298.3482389
2026-02-27 19:00:00,72.12,72.01,72.12,71.42,112305.53888148
2026-02-27 20:00:00,72.14,72.0,72.45,72.0,26678.12211695
2026-02-27 21:00:00,71.62,71.35,71.74,71.31,239707.0143849
2026-02-27 22:00:00,70.8,70.96,70.96,70.0,251271.54262848
2026-02-27 23:00:00,71.37,71.27,71.37,71.16,62630.77301182
2026-02-28 00:00:00,71.23,71.88,71.88,71.03,82059.1185934
2026-02-28 01:00:00,71.73,71.4,71.89,70.85,178493.52111526
2026-02-28 02:00:00,71.25,71.53,71.89,71.11,210443.74601138
2026-02-28 03:00:00,71.62,72.32,72.36,71.62,61770.4068
2026-02-28 04:00:00,72.24,71.53,72.24,71.1,65596.1865973
2026-02-28 05:00:00,71.53,71.32,71.53,71.1,17346.8689643
2026-02-28 06:00:00,71.19,67.27,71.19,66.78,875421.29206592
2026-02-28 07:00:00,67.12,67.51,68.44,67.05,570607.00819778
2026-02-28 08:00:00,67.2,66.52,67.21,66.52,458489.37908564
2026-02-28 09:00:00,66.52,66.07,66.73,65.98,125242.41465459
2026-02-28 10:00:00,66.22,66.42,66.63,65.94,201273.85296056
2026-02-28 11:00:00,66.42,66.45,66.83,66.42,173536.73457373
2026-02-28 12:00:00,66.25,66.15,66.51,66.06,161441.10628014
2026-02-28 13:00:00,66.19,67.3,67.35,65.67,954955.50454823
2026-02-28 14:00:00,67.42,67.45,68.46,67.32,154476.65149632
2026-02-28 15:00:00,67.7,67.32,68.13,67.26,365493.68758014
2026-02-28 16:00:00,66.84,66.51,66.99,66.51,176238.83624441
2026-02-28 17:00:00,66.65,66.78,66.78,66.0,149906.41781531
2026-02-28 18:00:00,66.64,68.23,68.69,66.64,141614.74943947
2026-02-28 19:00:00,67.98,69.04,69.04,67.79,74866.76142856
2026-02-28 20:00:00,69.07,70.47,70.47,69.07,136233.75821618
2026-02-28 21:00:00,69.99,70.16,70.16,69.59,82554.56907493
2026-02-28 22:00:00,69.92,70.69,70.69,69.92,30528.50418364
2026-02-28 23:00:00,70.7,71.25,71.25,70.65,95563.26208516
2026-03-01 00:00:00,71.25,71.21,71.39,70.91,157908.71180687
2026-03-01 01:00:00,71.1,71.82,71.97,70.66,753528.98049422
2026-03-01 02:00:00,72.03,72.62,72.87,72.03,64015.67155444
2026-03-01 03:00:00,72.56,71.28,72.65,71.28,106287.76052157
2026-03-01 04:00:00,71.63,72.12,72.12,71.0,152498.0621012
2026-03-01 05:00:00,72.12,71.72,72.27,71.62,43802.52190358
2026-03-01 06:00:00,71.3,70.7,71.3,70.59,144194.45363833
2026-03-01 07:00:00,70.48,70.23,70.72,70.04,131933.91118
2026-03-01 08:00:00,70.31,69.3,70.73,69.3,64398.33829727
2026-03-01 09:00:00,69.4,69.22,69.74,69.22,35160.51348573
