time,open,close,high,low,volume
2026-02-20 13:00:00,9.97,9.76,9.97,9.675,66074953.38575203
2026-02-20 14:00:00,9.754,9.9,9.969,9.748,35638093.51509793
2026-02-20 15:00:00,9.907,10.23,10.24,9.907,80999864.69203486
2026-02-20 16:00:00,10.23,10.2,10.35,10.09,27159880.91167913
2026-02-20 17:00:00,10.19,10.16,10.21,9.886,48131709.93149275
2026-02-20 18:00:00,10.16,10.18,10.26,10.08,18980080.29805761
2026-02-20 19:00:00,10.17,10.11,10.21,10.06,8911273.54086148
2026-02-20 20:00:00,10.11,10.12,10.15,10.05,2971560.27679195
2026-02-20 21:00:00,10.13,10.16,10.16,10.11,3588264.21648412
2026-02-20 22:00:00,10.14,10.17,10.19,10.11,17959849.11130233
2026-02-20 23:00:00,10.18,10.19,10.2,10.15,9804735.99307685
2026-02-21 00:00:00,10.19,10.11,10.19,10.09,14150902.58148546
2026-02-21 01:00:00,10.11,10.14,10.15,10.09,9995847.85076913
2026-02-21 02:00:00,10.15,10.18,10.19,10.1,5458918.14252509
2026-02-21 03:00:00,10.16,10.1,10.16,10.07,7948094.4338884
2026-02-21 04:00:00,10.11,10.13,10.13,10.07,7059357.40221996
2026-02-21 05:00:00,10.12,10.14,10.2,10.12,5378210.90907462
2026-02-21 06:00:00,10.15,10.17,10.25,10.14,13037451.11036022
2026-02-21 07:00:00,10.16,10.18,10.2,10.13,8663988.17731972
2026-02-21 08:00:00,10.18,10.27,10.27,10.16,8547981.71773408
2026-02-21 09:00:00,10.27,10.33,10.41,10.25,31191767.52548756
2026-02-21 10:00:00,10.33,10.34,10.38,10.29,6520716.02446527
2026-02-21 11:00:00,10.34,10.35,10.4,10.31,10423514.20721974
2026-02-21 12:00:00,10.36,10.25,10.38,10.22,28912421.00347857
2026-02-21 13:00:00,10.25,10.31,10.31,10.19,10842444.701801
2026-02-21 14:00:00,10.29,10.35,10.42,10.27,25979992.89089308
2026-02-21 15:00:00,10.35,10.26,10.36,10.23,27787825.62361075
2026-02-21 16:00:00,10.23,10.18,10.23,10.14,12531915.18936038
2026-02-21 17:00:00,10.17,10.18,10.22,10.14,6465863.08497045
2026-02-21 18:00:00,10.21,10.24,10.25,10.21,3244853.51258885
2026-02-21 19:00:00,10.25,10.17,10.25,10.16,1608366.7792701
2026-02-21 20:00:00,10.16,10.08,10.19,10.08,8946267.66833616
2026-02-21 21:00:00,10.09,10.15,10.15,10.06,8717583.95362838
2026-02-21 22:00:00,10.14,10.06,10.14,10.06,8758026.56908552
2026-02-21 23:00:00,10.08,10.03,10.09,10.01,9825856.73501436
2026-02-22 00:00:00,10.02,9.98,10.04,9.93,31872048.38149069
2026-02-22 01:00:00,9.977,9.99,10.01,9.969,14701878.35446141
2026-02-22 02:00:00,9.982,9.881,10.01,9.862,25586954.2882583
2026-02-22 03:00:00,9.881,9.885,9.907,9.824,14152918.64894498
2026-02-22 04:00:00,9.885,9.882,9.898,9.867,12020023.34917383
2026-02-22 05:00:00,9.883,9.842,9.891,9.842,17780101.50551289
2026-02-22 06:00:00,9.842,9.84,9.863,9.783,19425953.41017211
2026-02-22 07:00:00,9.839,9.865,9.9,9.828,9719126.75770082
2026-02-22 08:00:00,9.873,9.808,9.9,9.808,10421378.3810377
2026-02-22 09:00:00,9.806,9.9,9.9,9.798,8880457.88168838
2026-02-22 10:00:00,9.9,9.91,9.935,9.89,11949754.78590385
2026-02-22 11:00:00,9.916,9.88,9.928,9.861,9863917.45783918
2026-02-22 12:00:00,9.879,9.76,9.882,9.758,26408227.37512064
2026-02-22 13:00:00,9.76,9.723,9.772,9.697,20200143.04019842
2026-02-22 14:00:00,9.723,9.67,9.733,9.635,21470271.75593429
2026-02-22 15:00:00,9.67,9.72,9.746,9.633,11547161.73128171
2026-02-22 16:00:00,9.717,9.705,9.728,9.673,5985214.51438592
2026-02-22 17:00:00,9.706,9.6,9.708,9.582,15371770.86876921
2026-02-22 18:00:00,9.599,9.63,9.635,9.561,6400430.24776687
2026-02-22 19:00:00,9.622,9.64,9.648,9.598,4887883.13800167
2026-02-22 20:00:00,9.64,9.59,9.641,9.588,13124889.8686249
2026-02-22 21:00:00,9.6,9.649,9.658,9.586,9923584.12618601
2026-02-22 22:00:00,9.645,9.71,9.719,9.628,9014502.42878386
2026-02-22 23:00:00,9.71,9.68,9.715,9.638,13727338.30132154
2026-02-23 00:00:00,9.68,9.472,9.73,9.459,25687983.46682365
2026-02-23 01:00:00,9.465,9.05,9.472,9.015,169238009.60745704
2026-02-23 02:00:00,9.042,9.159,9.177,9.032,21920909.11756905
2026-02-23 03:00:00,9.17,9.137,9.231,9.112,21971663.52131707
2026-02-23 04:00:00,9.146,9.113,9.165,9.11,9588895.89511561
2026-02-23 05:00:00,9.12,9.226,9.273,9.112,19862751.20634229
2026-02-23 06:00:00,9.224,9.452,9.49,9.22,27989080.30684757
2026-02-23 07:00:00,9.444,9.457,9.525,9.422,12482818.84352199
2026-02-23 08:00:00,9.45,9.389,9.45,9.367,17197745.15360654
2026-02-23 09:00:00,9.393,9.625,9.668,9.381,28124894.32677228
2026-02-23 10:00:00,9.625,9.704,9.72,9.616,22404255.84801918
2026-02-23 11:00:00,9.706,9.631,9.734,9.614,13124483.88520445
2026-02-23 12:00:00,9.616,9.75,9.825,9.603,27265875.30255045
2026-02-23 13:00:00,9.766,9.602,9.766,9.602,18842672.61412801
2026-02-23 14:00:00,9.606,9.547,9.62,9.461,46098694.80684418
2026-02-23 15:00:00,9.564,9.394,9.565,9.371,28660473.61923224
2026-02-23 16:00:00,9.401,9.35,9.459,9.325,13884706.54905839
2026-02-23 17:00:00,9.373,9.368,9.379,9.195,20882959.89476872
2026-02-23 18:00:00,9.365,9.315,9.45,9.315,7851155.71721792
2026-02-23 19:00:00,9.318,9.265,9.328,9.248,9198582.74772163
2026-02-23 20:00:00,9.263,9.294,9.301,9.226,7082105.77012652
2026-02-23 21:00:00,9.301,9.32,9.365,9.278,6362074.55033395
2026-02-23 22:00:00,9.322,9.342,9.408,9.321,9061793.44027568
2026-02-23 23:00:00,9.337,9.307,9.376,9.291,8280951.94036437
2026-02-24 00:00:00,9.307,9.381,9.381,9.307,8401326.09372009
2026-02-24 01:00:00,9.357,9.301,9.407,9.17,40320268.2962209
2026-02-24 02:00:00,9.299,9.277,9.36,9.262,13206886.22177919
2026-02-24 03:00:00,9.276,9.174,9.276,9.149,29581525.20984784
2026-02-24 04:00:00,9.173,9.143,9.2,9.096,22338568.06677484
2026-02-24 05:00:00,9.142,9.152,9.196,9.091,22639525.78230889
2026-02-24 06:00:00,9.147,9.15,9.207,9.13,19344864.06965933
2026-02-24 07:00:00,9.155,9.185,9.213,9.133,6552461.52088611
2026-02-24 08:00:00,9.18,9.244,9.269,9.131,9676973.39269085
2026-02-24 09:00:00,9.257,9.231,9.257,9.16,6828567.75291383
2026-02-24 10:00:00,9.246,9.229,9.254,9.209,8563612.54352351
2026-02-24 11:00:00,9.22,9.255,9.257,9.203,5694687.92292699
2026-02-24 12:00:00,9.255,9.236,9.332,9.221,12185994.97925376
2026-02-24 13:00:00,9.214,9.243,9.279,9.119,16140974.74604421
2026-02-24 14:00:00,9.235,9.365,9.44,9.154,17617273.8582298
2026-02-24 15:00:00,9.365,9.49,9.55,9.322,27375872.28905619
2026-02-24 16:00:00,9.486,9.536,9.63,9.408,27636506.34419229
2026-02-24 17:00:00,9.537,9.435,9.537,9.404,16195767.33826353
2026-02-24 18:00:00,9.425,9.431,9.476,9.381,8419871.71925415
2026-02-24 19:00:00,9.456,9.421,9.469,9.371,6409499.43173897
2026-02-24 20:00:00,9.412,9.407,9.469,9.406,3295869.77301936
2026-02-24 21:00:00,9.411,9.379,9.411,9.34,11764863.1252508
2026-02-24 22:00:00,9.364,9.439,9.485,9.364,7389149.55966827
2026-02-24 23:00:00,9.44,9.432,9.499,9.375,17458266.62958072
2026-02-25 00:00:00,9.442,9.404,9.443,9.363,15379226.16554635
2026-02-25 01:00:00,9.423,9.743,9.846,9.41,76553180.81546122
2026-02-25 02:00:00,9.745,9.687,9.83,9.687,35854651.86494752
2026-02-25 03:00:00,9.696,9.58,9.717,9.569,17575510.32547628
2026-02-25 04:00:00,9.6,9.63,9.682,9.51,15932812.42445004
2026-02-25 05:00:00,9.638,9.54,9.653,9.449,16672415.09241184
2026-02-25 06:00:00,9.539,9.537,9.587,9.514,14444640.28843137
2026-02-25 07:00:00,9.536,9.615,9.64,9.506,11670769.7036023
2026-02-25 08:00:00,9.616,9.713,9.729,9.594,19717179.44694628
2026-02-25 09:00:00,9.711,9.821,9.852,9.701,31521115.29080158
2026-02-25 10:00:00,9.839,9.767,9.847,9.749,12293683.33702381
2026-02-25 11:00:00,9.774,9.776,9.79,9.714,18393528.16914687
2026-02-25 12:00:00,9.759,10.04,10.08,9.758,35657346.70818684
2026-02-25 13:00:00,10.03,10.07,10.14,9.977,30228150.49823566
2026-02-25 14:00:00,10.07,10.42,10.42,10.06,47328162.336472
2026-02-25 15:00:00,10.41,10.3,10.5,10.26,85328219.23230118
2026-02-25 16:00:00,10.3,10.48,10.52,10.26,33142233.74177103
2026-02-25 17:00:00,10.49,10.63,10.66,10.49,34460170.2831039
2026-02-25 18:00:00,10.63,10.81,10.85,10.53,12259075.15348653
2026-02-25 19:00:00,10.81,10.71,10.83,10.62,20248732.72676439
