time,open,close,high,low,volume
2026-04-01 11:20:00,45.88,45.71,45.92,45.71,39167.9535458
2026-04-01 11:25:00,45.55,45.87,45.87,45.55,28581.02926544
2026-04-01 11:30:00,45.94,45.94,45.94,45.92,31381.71836827
2026-04-01 11:35:00,45.71,45.52,45.71,45.35,52583.90885524
2026-04-01 11:40:00,45.62,45.52,45.62,45.52,34279.66393863
2026-04-01 11:45:00,45.47,45.61,45.61,45.47,21048.37690818
2026-04-01 11:50:00,45.76,45.76,45.76,45.76,308.84327642
2026-04-01 11:55:00,46.01,46.03,46.03,46.01,4736.911126763165
2026-04-01 12:00:00,45.8,45.55,45.8,45.55,77821.61090376
2026-04-01 12:05:00,45.55,45.55,45.55,45.55,21562.06692774
2026-04-01 12:10:00,45.55,45.54,45.55,45.54,10264.46103183
2026-04-01 12:15:00,45.86,45.7,45.86,45.57,4142.4902194
2026-04-01 12:30:00,45.91,45.89,46.36,45.88,38369.43176072
2026-04-01 12:35:00,45.89,46.04,46.04,45.89,23889.4562874
2026-04-01 12:40:00,46.04,46.15,46.15,46.04,20880.234534540643
2026-04-01 12:45:00,46.21,46.15,46.21,46.14,182000.82329095
2026-04-01 12:55:00,45.98,46.15,46.15,45.98,585.69141879
2026-04-01 13:05:00,46.15,46.15,46.15,46.15,71232.70912642
2026-04-01 13:10:00,46.13,46.01,46.14,46.01,25715.94939806
2026-04-01 13:15:00,46.11,46.11,46.11,46.11,71232.709045
2026-04-01 13:20:00,46.11,46.23,46.24,46.11,1371.66886167
2026-04-01 13:25:00,46.27,46.41,46.43,46.27,105747.81047414
2026-04-01 13:30:00,46.43,46.45,46.45,46.43,37362.53493055
2026-04-01 13:35:00,46.25,46.45,46.45,46.25,62826.4625317689
2026-04-01 13:40:00,46.27,45.99,46.27,45.99,105266.66277388
2026-04-01 13:45:00,45.98,45.76,45.98,45.75,58124.63723688
2026-04-01 13:55:00,45.98,45.86,45.98,45.86,30544.10174775
2026-04-01 14:00:00,46.01,46.16,46.16,46.01,16985.75847553
2026-04-01 14:05:00,46.02,46.02,46.18,46.02,74905.56778226
2026-04-01 14:10:00,46.03,46.27,46.27,46.03,84431.22006453
2026-04-01 14:15:00,46.26,46.27,46.27,46.26,8016.985106116274
2026-04-01 14:20:00,46.23,46.22,46.23,46.22,35438.75738922
2026-04-01 14:25:00,46.25,46.33,46.33,46.09,49769.23736257373
2026-04-01 14:30:00,46.33,46.43,46.43,46.22,57589.48316945
2026-04-01 14:35:00,46.18,46.21,46.21,46.18,4855.33741677
2026-04-01 14:40:00,46.27,46.2,46.29,46.2,33729.51762477
2026-04-01 14:45:00,46.33,46.46,46.46,46.33,24992.38891477
2026-04-01 14:50:00,46.47,46.71,46.71,46.4,128732.93546755558
2026-04-01 14:55:00,46.7,46.38,46.71,46.37,136850.61058836
2026-04-01 15:00:00,46.33,46.06,46.33,46.03,122868.07197501
2026-04-01 15:05:00,46.04,45.94,46.04,45.94,32088.77753946
2026-04-01 15:10:00,45.88,45.92,45.92,45.87,31496.9394014
2026-04-01 15:15:00,45.9,45.73,45.9,45.73,49645.5132339
2026-04-01 15:20:00,45.84,46.09,46.09,45.84,23345.73512599
2026-04-01 15:25:00,46.09,46.09,46.09,46.09,3923.79214688
2026-04-01 15:30:00,46.2,46.01,46.2,46.01,18561.04295201
2026-04-01 15:35:00,46.23,46.23,46.23,46.23,110.2941
2026-04-01 15:40:00,46.07,46.07,46.07,46.07,5400.31267757
2026-04-01 15:45:00,46.34,46.26,46.38,46.25,61653.26071605
2026-04-01 15:55:00,46.6,46.58,46.6,46.58,2646.9553
2026-04-01 16:00:00,46.46,46.38,46.57,46.34,179622.82116128
2026-04-01 16:10:00,46.27,46.27,46.27,46.27,10184.0
2026-04-01 16:15:00,46.27,46.33,46.41,46.21,35278.61624636
2026-04-01 16:20:00,46.35,46.38,46.38,46.35,12182.99326753
2026-04-01 16:25:00,46.47,46.44,46.59,46.44,100443.96009282
2026-04-01 16:30:00,46.57,46.6,46.61,46.57,86880.42992416
2026-04-01 16:35:00,46.31,46.22,46.31,46.14,53373.02644497
2026-04-01 16:40:00,46.09,46.04,46.09,45.98,90157.48070921
2026-04-01 16:45:00,45.82,45.66,45.82,45.56,139380.33833292
2026-04-01 16:50:00,45.55,45.75,45.75,45.54,29795.54351631
2026-04-01 16:55:00,45.78,46.2,46.2,45.73,11984.0
2026-04-01 17:00:00,46.16,46.1,46.25,46.01,31506.01634453
2026-04-01 17:05:00,46.11,46.01,46.11,45.95,40900.0
2026-04-01 17:10:00,45.83,46.11,46.2,45.78,73176.10289834125
2026-04-01 17:15:00,46.11,46.34,46.34,46.11,44573.17463061
2026-04-01 17:20:00,46.38,46.39,46.5,46.38,31341.45593355
2026-04-01 17:25:00,46.38,46.32,46.38,46.32,28538.48557419
2026-04-01 17:30:00,46.02,46.12,46.12,46.02,2891.39989791
2026-04-01 17:35:00,46.09,46.19,46.32,46.09,20284.0
2026-04-01 17:40:00,46.19,46.16,46.32,46.13,32434.66692858
2026-04-01 17:45:00,46.18,46.17,46.18,46.17,19070.4335
2026-04-01 17:55:00,46.06,46.06,46.06,46.06,10967.23756543
2026-04-01 18:00:00,46.17,46.17,46.17,46.17,72757.876948
2026-04-01 18:05:00,46.17,46.16,46.17,46.16,17616.94922873
2026-04-01 18:10:00,46.35,46.35,46.35,46.35,110.0324
2026-04-01 18:15:00,46.35,46.35,46.35,46.35,110.0324
2026-04-01 18:25:00,46.27,46.27,46.27,46.27,4359.78755312
2026-04-01 18:35:00,46.27,46.35,46.35,46.27,7266.35998676
2026-04-01 18:40:00,46.35,46.35,46.35,46.35,1733.45065274
2026-04-01 18:45:00,46.38,46.38,46.38,46.38,5053.4385
2026-04-01 18:50:00,46.44,46.44,46.44,46.44,14223.74397353
2026-04-01 18:55:00,46.43,46.43,46.43,46.43,109.8428
2026-04-01 19:10:00,46.43,46.34,46.43,46.34,5156.01445873
2026-04-01 19:25:00,46.43,46.61,46.61,46.43,6940.54614253
2026-04-01 19:40:00,46.71,46.78,46.78,46.71,4514.17416271
2026-04-01 19:45:00,46.79,46.79,46.79,46.79,42744.17610601
2026-04-01 19:55:00,46.71,46.71,46.71,46.71,109.1843
2026-04-01 20:00:00,46.74,46.74,46.74,46.74,12860.57712185
2026-04-01 20:05:00,46.98,46.98,46.98,46.98,1614.091023
2026-04-01 20:10:00,47.18,46.92,47.19,46.92,104278.1747
2026-04-01 20:15:00,46.86,46.95,46.95,46.86,25464.41437877
2026-04-01 20:25:00,47.19,47.13,47.2,47.13,24647.92171853
2026-04-01 20:30:00,46.95,46.95,46.95,46.95,1904.0857
2026-04-01 20:35:00,46.98,46.98,46.98,46.98,108.5568
2026-04-01 20:45:00,46.94,46.93,46.94,46.93,1076.060682
2026-04-01 20:50:00,47.01,47.01,47.01,47.01,1614.091023
2026-04-01 20:55:00,46.96,47.0,47.0,46.96,403.52275575
2026-04-01 21:00:00,47.09,47.09,47.09,47.09,1135.55120097
