time,open,close,high,low,volume
2026-02-20 20:00:00,5.483,5.489,5.489,5.481,69144.26034029
2026-02-20 21:00:00,5.487,5.501,5.501,5.484,86265.13323172
2026-02-20 22:00:00,5.502,5.492,5.502,5.456,238903.9907147773
2026-02-20 23:00:00,5.458,5.458,5.458,5.458,1681.52009417
2026-02-21 00:00:00,5.47,5.446,5.503,5.446,1527548.80278041
2026-02-21 01:00:00,5.448,5.441,5.451,5.432,309648.99444073
2026-02-21 02:00:00,5.47,5.493,5.493,5.47,107894.082445
2026-02-21 03:00:00,5.471,5.446,5.512,5.446,1509446.93913475
2026-02-21 04:00:00,5.478,5.468,5.478,5.468,8233.6292
2026-02-21 05:00:00,5.478,5.478,5.478,5.478,1007.3392641
2026-02-21 06:00:00,5.444,5.428,5.444,5.428,3499.53352985
2026-02-21 07:00:00,5.454,5.456,5.456,5.454,1850732.67688189
2026-02-21 08:00:00,5.456,5.464,5.465,5.442,351450.2753658335
2026-02-21 09:00:00,5.454,5.477,5.49,5.453,1393166.25034179
2026-02-21 10:00:00,5.457,5.467,5.469,5.457,1921200.5333728257
2026-02-21 11:00:00,5.476,5.476,5.477,5.456,537560.3471428576
2026-02-21 12:00:00,5.468,5.446,5.468,5.443,241127.86135802
2026-02-21 13:00:00,5.428,5.428,5.428,5.428,87107.0113956
2026-02-21 14:00:00,5.438,5.431,5.467,5.431,912427.84422054
2026-02-21 15:00:00,5.432,5.373,5.432,5.373,1074532.98645266
2026-02-21 16:00:00,5.36,5.305,5.36,5.305,211573.270552
2026-02-21 17:00:00,5.304,5.299,5.304,5.276,302695.17132224
2026-02-21 18:00:00,5.281,5.281,5.281,5.281,184784.22756414
2026-02-21 19:00:00,5.297,5.269,5.303,5.265,368698.0243939104
2026-02-21 20:00:00,5.272,5.273,5.279,5.249,1766514.41492364
2026-02-21 21:00:00,5.27,5.301,5.317,5.256,357616.8760302401
2026-02-21 22:00:00,5.298,5.273,5.298,5.255,556810.09419156
2026-02-21 23:00:00,5.257,5.267,5.274,5.249,161947.58468070347
2026-02-22 00:00:00,5.259,5.246,5.265,5.22,1479462.7149166474
2026-02-22 01:00:00,5.263,5.242,5.263,5.242,363663.29284486
2026-02-22 02:00:00,5.238,5.28,5.292,5.215,1596964.96100453
2026-02-22 03:00:00,5.287,5.276,5.287,5.276,20482.85788431
2026-02-22 04:00:00,5.276,5.276,5.276,5.276,77322.31524821
