time,open,close,high,low,volume
2026-03-07 14:00:00,2.738,2.753,2.753,2.727,5511577.66151903
2026-03-07 15:00:00,2.736,2.742,2.755,2.736,5313911.81994286
2026-03-07 16:00:00,2.745,2.745,2.745,2.745,108456.3675
2026-03-07 17:00:00,2.761,2.775,2.775,2.761,1086562.83955089
2026-03-07 18:00:00,2.766,2.76,2.766,2.76,293347.91675683
2026-03-07 19:00:00,2.76,2.76,2.76,2.76,9993.02017822
2026-03-07 20:00:00,2.775,2.776,2.776,2.775,214618.39157093
2026-03-07 21:00:00,2.776,2.788,2.79,2.776,2070846.11573255
2026-03-07 22:00:00,2.784,2.784,2.784,2.784,433310.2230057
2026-03-08 00:00:00,2.767,2.767,2.767,2.767,563672.95534478
2026-03-08 01:00:00,2.766,2.782,2.782,2.766,138466.7195586301
2026-03-08 04:00:00,2.769,2.775,2.775,2.768,79706.86019836
2026-03-08 05:00:00,2.775,2.766,2.775,2.766,90241.48402689
2026-03-08 06:00:00,2.766,2.766,2.766,2.766,28978.85344442
2026-03-08 07:00:00,2.769,2.781,2.781,2.769,930250.31706626
2026-03-08 08:00:00,2.783,2.783,2.783,2.783,58879.94908722
2026-03-08 09:00:00,2.774,2.799,2.799,2.773,388403.45207331
2026-03-08 10:00:00,2.78,2.799,2.799,2.78,307123.71282951
2026-03-08 11:00:00,2.798,2.798,2.799,2.779,1363169.2414731
2026-03-08 12:00:00,2.783,2.784,2.797,2.779,1094025.56000198
2026-03-08 13:00:00,2.796,2.785,2.797,2.784,592232.85813657
2026-03-08 14:00:00,2.794,2.792,2.794,2.779,864031.84285
2026-03-08 15:00:00,2.793,2.927,3.195,2.793,326934615.44374865
2026-03-08 16:00:00,2.927,3.027,3.163,2.9,133438735.47162668
2026-03-08 17:00:00,3.027,2.985,3.055,2.949,18586654.59623188
2026-03-08 18:00:00,2.983,2.998,3.003,2.958,6704371.0127106
2026-03-08 19:00:00,2.962,2.976,2.998,2.961,3879008.86829573
2026-03-08 20:00:00,2.976,2.971,2.992,2.95,7027385.55354248
2026-03-08 21:00:00,2.972,2.915,2.985,2.904,18614679.13136637
2026-03-08 22:00:00,2.907,2.779,2.912,2.723,33271823.02943652
2026-03-08 23:00:00,2.779,2.729,2.814,2.717,16081503.77317978
2026-03-09 00:00:00,2.728,2.702,2.766,2.701,13915354.962673482
2026-03-09 01:00:00,2.711,2.727,2.754,2.711,1954395.94225861
2026-03-09 02:00:00,2.736,2.722,2.739,2.722,2323117.45530038
2026-03-09 03:00:00,2.719,2.734,2.734,2.71,2311855.83854653
2026-03-09 04:00:00,2.712,2.735,2.735,2.684,4837736.75293822
2026-03-09 05:00:00,2.708,2.721,2.721,2.7,620196.94791821
2026-03-09 06:00:00,2.71,2.703,2.724,2.703,1378732.23078914
2026-03-09 07:00:00,2.705,2.706,2.729,2.702,4978849.37332954
2026-03-09 08:00:00,2.728,2.727,2.729,2.71,1868449.70736811
2026-03-09 09:00:00,2.726,2.741,2.741,2.715,1616688.29245186
2026-03-09 10:00:00,2.744,2.798,2.803,2.741,5848733.52610127
2026-03-09 11:00:00,2.77,2.79,2.798,2.76,1703669.21452329
2026-03-09 12:00:00,2.79,2.787,2.791,2.77,2142121.91732432
2026-03-09 13:00:00,2.786,2.791,2.791,2.771,3629916.10113404
2026-03-09 14:00:00,2.791,2.79,2.819,2.77,7176294.008769369
2026-03-09 15:00:00,2.799,3.101,3.142,2.799,145760777.3022875
2026-03-09 16:00:00,3.101,2.614,3.112,2.571,121914180.83894238
2026-03-09 17:00:00,2.633,2.69,2.69,2.615,2989064.454840393
2026-03-09 18:00:00,2.668,2.689,2.69,2.657,9520932.35130074
2026-03-09 19:00:00,2.687,2.723,2.724,2.662,4564248.55287922
2026-03-09 20:00:00,2.718,2.716,2.718,2.686,1546589.34311923
2026-03-09 21:00:00,2.715,2.715,2.716,2.691,148575.3924058769
2026-03-09 22:00:00,2.692,2.657,2.725,2.657,8759149.039214553
2026-03-09 23:00:00,2.67,2.683,2.72,2.663,1355044.2814207552
2026-03-10 00:00:00,2.677,2.682,2.696,2.656,6563914.89304632
2026-03-10 01:00:00,2.689,2.687,2.7,2.658,5913059.9178741
2026-03-10 02:00:00,2.687,2.694,2.733,2.663,943850.9851619012
2026-03-10 03:00:00,2.725,2.728,2.74,2.725,1266480.71869865
2026-03-10 04:00:00,2.74,2.69,2.74,2.69,3372746.35568289
2026-03-10 05:00:00,2.701,2.714,2.714,2.701,104302.88006759
2026-03-10 07:00:00,2.697,2.705,2.714,2.69,3468019.483102157
2026-03-10 08:00:00,2.712,2.722,2.731,2.712,2025671.146959956
2026-03-10 09:00:00,2.713,2.736,2.736,2.706,1485932.27207861
2026-03-10 10:00:00,2.71,2.756,2.775,2.71,4500456.46374436
2026-03-10 11:00:00,2.745,2.755,2.756,2.742,501499.82075846
2026-03-10 12:00:00,2.755,2.755,2.756,2.743,768603.46011999
2026-03-10 13:00:00,2.755,2.749,2.767,2.741,7338628.24029518
2026-03-10 14:00:00,2.746,2.847,2.882,2.741,26412199.324586123
2026-03-10 15:00:00,2.842,2.88,3.035,2.813,177385991.8010763
2026-03-10 16:00:00,2.872,2.779,2.9,2.779,15546134.827021891
2026-03-10 17:00:00,2.778,2.733,2.778,2.725,3349079.24752249
2026-03-10 18:00:00,2.749,2.764,2.764,2.749,949690.55029647
2026-03-10 19:00:00,2.742,2.743,2.758,2.742,1048130.9688578334
2026-03-10 20:00:00,2.75,2.772,2.788,2.743,1423526.3117468152
2026-03-10 21:00:00,2.772,2.862,3.094,2.772,159108649.0227137
2026-03-10 22:00:00,2.861,2.801,2.866,2.79,26428129.82378673
2026-03-10 23:00:00,2.811,2.833,2.833,2.797,2757259.20750774
2026-03-11 00:00:00,2.845,2.804,2.853,2.803,8592246.78256346
2026-03-11 01:00:00,2.825,2.804,2.853,2.804,7788890.235398677
2026-03-11 02:00:00,2.825,2.814,2.863,2.804,2087023.64555276
2026-03-11 03:00:00,2.84,2.843,2.843,2.814,100904.29718708
2026-03-11 04:00:00,2.824,2.81,2.825,2.805,1977529.56628484
2026-03-11 05:00:00,2.812,2.813,2.821,2.812,575402.18843996
2026-03-11 06:00:00,2.807,2.744,2.812,2.726,16581182.41685595
2026-03-11 07:00:00,2.747,2.757,2.765,2.747,4390681.45532643
2026-03-11 08:00:00,2.758,2.765,2.782,2.743,3189323.50091826
2026-03-11 09:00:00,2.767,2.765,2.788,2.763,4749648.68952188
2026-03-11 10:00:00,2.763,2.819,2.819,2.761,4902134.80465687
2026-03-11 11:00:00,2.817,2.835,2.835,2.813,3213903.90817789
2026-03-11 12:00:00,2.811,2.84,2.84,2.798,3147794.86222861
2026-03-11 13:00:00,2.84,2.845,2.853,2.822,3720666.01705444
2026-03-11 14:00:00,2.853,2.875,2.881,2.826,5531056.991731134
2026-03-11 15:00:00,2.851,2.783,2.853,2.779,10199970.8575634
2026-03-11 16:00:00,2.782,2.785,2.816,2.781,1561458.67851246
2026-03-11 19:00:00,2.817,2.789,2.817,2.787,1015312.1996664
2026-03-11 20:00:00,2.813,2.81,2.813,2.809,215338.60042258163
2026-03-11 21:00:00,2.81,2.786,2.81,2.786,3723646.78398693
2026-03-11 22:00:00,2.785,2.803,2.803,2.785,1480566.56724532
2026-03-11 23:00:00,2.783,2.765,2.801,2.765,1225124.505143019
2026-03-12 00:00:00,2.795,2.762,2.798,2.762,1993533.99695659
2026-03-12 01:00:00,2.777,2.762,2.782,2.756,3769751.86554961
2026-03-12 02:00:00,2.763,2.764,2.782,2.762,1019537.672270314
2026-03-12 03:00:00,2.764,2.766,2.782,2.764,1849939.73235937
2026-03-12 04:00:00,2.766,2.77,2.79,2.766,941235.10336122
2026-03-12 05:00:00,2.773,2.771,2.773,2.77,185604.75542167
2026-03-12 06:00:00,2.772,2.798,2.798,2.769,1119187.76985636
2026-03-12 07:00:00,2.796,2.77,2.797,2.77,787879.66295025
2026-03-12 08:00:00,2.78,2.787,2.835,2.77,3715090.29483755
2026-03-12 09:00:00,2.788,2.817,2.817,2.785,257063.03012686
2026-03-12 10:00:00,2.788,2.796,2.796,2.788,48191.3174586
2026-03-12 11:00:00,2.817,2.839,2.839,2.797,2542461.89441299
2026-03-12 12:00:00,2.84,2.833,2.84,2.81,1567046.63914579
2026-03-12 13:00:00,2.81,2.837,2.845,2.81,102082.66905537
2026-03-12 14:00:00,2.838,2.816,2.838,2.815,524940.32952042
2026-03-12 15:00:00,2.813,2.822,2.825,2.8,1554240.93661701
2026-03-12 16:00:00,2.822,2.822,2.822,2.822,179878.08649884
2026-03-12 17:00:00,2.798,2.778,2.798,2.724,13315744.00175246
2026-03-12 18:00:00,2.779,2.761,2.779,2.761,356672.19687158
2026-03-12 20:00:00,2.777,2.778,2.778,2.777,3598.41669666
2026-03-12 23:00:00,2.762,2.762,2.762,2.762,359061.25963205
2026-03-13 00:00:00,2.778,2.796,2.796,2.778,639670.25965404
2026-03-13 01:00:00,2.801,2.805,2.805,2.8,106146.67609737
2026-03-13 02:00:00,2.805,2.803,2.805,2.79,1150850.85855703
2026-03-13 03:00:00,2.79,2.766,2.79,2.766,2811191.68959827
2026-03-13 04:00:00,2.778,2.788,2.788,2.777,1249379.21967676
2026-03-13 06:00:00,2.79,2.799,2.799,2.79,564175.36361806
2026-03-13 07:00:00,2.801,2.79,2.805,2.789,2488050.76300468
2026-03-13 08:00:00,2.791,2.809,2.809,2.79,2963917.50839416
2026-03-13 09:00:00,2.81,2.793,2.81,2.793,3212044.70166581
2026-03-13 10:00:00,2.799,2.81,2.81,2.791,1001485.59487496
2026-03-13 11:00:00,2.811,2.802,2.817,2.802,1140145.95262198
2026-03-13 12:00:00,2.801,2.802,2.802,2.792,2761526.30149768
2026-03-13 13:00:00,2.809,2.827,2.827,2.808,3145452.21894837
2026-03-13 14:00:00,2.827,2.833,2.833,2.827,2177896.22308508
2026-03-13 15:00:00,2.833,2.802,2.833,2.797,5099552.57082937
2026-03-13 16:00:00,2.802,2.819,2.819,2.802,208010.89043625
2026-03-13 17:00:00,2.818,2.818,2.818,2.818,1774.3080198722498
2026-03-13 22:00:00,2.796,2.79,2.796,2.786,1692356.0639381
2026-03-13 23:00:00,2.782,2.769,2.801,2.769,1584792.63245803
2026-03-14 00:00:00,2.797,2.787,2.797,2.765,1215452.01887659
2026-03-14 01:00:00,2.768,2.782,2.787,2.767,1705004.70673786
2026-03-14 02:00:00,2.794,2.794,2.794,2.794,17895.49033644
2026-03-14 03:00:00,2.769,2.794,2.794,2.769,46993.60717725
2026-03-14 04:00:00,2.794,2.794,2.794,2.794,11742.65481607
2026-03-14 05:00:00,2.771,2.767,2.771,2.767,4346571.01138267
2026-03-14 06:00:00,2.768,2.794,2.794,2.767,469000.44822665
2026-03-14 07:00:00,2.772,2.783,2.783,2.772,328069.0357
2026-03-14 08:00:00,2.778,2.768,2.778,2.768,19895.49033644
2026-03-14 09:00:00,2.778,2.78,2.78,2.778,175740.15237175
2026-03-14 10:00:00,2.795,2.795,2.795,2.793,594332.4855839
2026-03-14 11:00:00,2.797,2.824,2.824,2.797,945890.82616769
2026-03-14 12:00:00,2.823,2.803,2.824,2.799,1738243.96708485
2026-03-14 13:00:00,2.798,2.796,2.807,2.792,1282129.38386207
2026-03-14 14:00:00,2.807,2.813,2.813,2.791,235060.56371542
2026-03-14 15:00:00,2.791,2.782,2.794,2.771,4371006.45432269
2026-03-14 16:00:00,2.781,2.77,2.789,2.77,1601778.92415966
2026-03-14 17:00:00,2.773,2.773,2.773,2.773,13967.38609649
2026-03-14 19:00:00,2.787,2.774,2.787,2.774,333588.68301673
2026-03-14 20:00:00,2.787,2.789,2.79,2.773,544334.9838979715
2026-03-14 22:00:00,2.789,2.774,2.789,2.772,2095089.72161315
2026-03-14 23:00:00,2.772,2.788,2.788,2.771,1213471.80624113
2026-03-15 00:00:00,2.788,2.776,2.788,2.776,23489.65856923
2026-03-15 01:00:00,2.788,2.772,2.789,2.772,1529832.41966641
2026-03-15 02:00:00,2.789,2.787,2.789,2.776,699338.73664364
2026-03-15 03:00:00,2.79,2.773,2.79,2.773,1085363.82354569
2026-03-15 04:00:00,2.785,2.785,2.785,2.785,1818.1818
2026-03-15 06:00:00,2.776,2.784,2.784,2.775,264209.09024487
2026-03-15 07:00:00,2.776,2.787,2.79,2.774,1985505.03743739
2026-03-15 08:00:00,2.787,2.798,2.798,2.787,317689.13271951
2026-03-15 09:00:00,2.798,2.803,2.803,2.788,59521.74589339
2026-03-15 10:00:00,2.789,2.793,2.809,2.783,1949185.80361198
2026-03-15 11:00:00,2.793,2.789,2.795,2.789,120352.0108356
2026-03-15 12:00:00,2.795,2.793,2.809,2.791,2590115.56275056
2026-03-15 13:00:00,2.809,2.806,2.809,2.791,1642720.11497894
2026-03-15 14:00:00,2.807,2.813,2.813,2.791,844222.39884318
2026-03-15 15:00:00,2.811,2.784,2.811,2.783,4155444.88960509
2026-03-15 16:00:00,2.799,2.799,2.799,2.799,3565.0623886
2026-03-15 17:00:00,2.784,2.784,2.784,2.784,402202.18434589
2026-03-15 19:00:00,2.797,2.797,2.797,2.797,1789.1844
2026-03-15 20:00:00,2.785,2.785,2.785,2.785,231841.79229214
2026-03-15 21:00:00,2.799,2.799,2.799,2.799,1789.8244
2026-03-15 22:00:00,2.789,2.784,2.789,2.784,1044965.88987301
2026-03-15 23:00:00,2.784,2.798,2.798,2.783,592203.47310164
2026-03-16 00:00:00,2.787,2.806,2.806,2.784,2313406.96285954
2026-03-16 01:00:00,2.803,2.803,2.803,2.803,562695.44645356
2026-03-16 02:00:00,2.804,2.804,2.804,2.804,552436.22399067
2026-03-16 03:00:00,2.793,2.786,2.803,2.786,560306.19514399
2026-03-16 05:00:00,2.803,2.791,2.803,2.791,216494.20048151
2026-03-16 06:00:00,2.791,2.793,2.803,2.791,665860.3536331
2026-03-16 07:00:00,2.803,2.812,2.812,2.793,1568876.20193789
2026-03-16 08:00:00,2.812,2.809,2.813,2.804,1292663.7231909
2026-03-16 09:00:00,2.809,2.811,2.811,2.802,902734.23266727
2026-03-16 10:00:00,2.803,2.812,2.812,2.802,63967.45586483
2026-03-16 11:00:00,2.812,2.819,2.819,2.803,379747.83144292695
2026-03-16 12:00:00,2.819,2.812,2.829,2.8,3737195.67520383
2026-03-16 13:00:00,2.813,2.825,2.825,2.802,1442976.99562614
2026-03-16 14:00:00,2.825,2.843,2.844,2.825,952379.26130591
2026-03-16 15:00:00,2.843,2.822,2.854,2.804,5865228.9065165
2026-03-16 16:00:00,2.813,2.821,2.823,2.809,795020.81261682
2026-03-16 17:00:00,2.825,2.826,2.826,2.825,76994.66384516336
2026-03-16 18:00:00,2.826,2.826,2.826,2.826,2324.33777551
2026-03-16 19:00:00,2.814,2.813,2.816,2.808,645164.00135208
2026-03-16 20:00:00,2.813,2.814,2.814,2.813,51004.49977306
2026-03-16 21:00:00,2.806,2.813,2.813,2.8,3240678.40547287
2026-03-16 22:00:00,2.814,2.825,2.825,2.814,552027.4750946302
2026-03-16 23:00:00,2.825,2.827,2.849,2.825,1808601.8702578817
2026-03-17 00:00:00,2.848,2.849,2.849,2.846,2918585.44707147
2026-03-17 01:00:00,2.849,2.858,2.858,2.84,814739.36433384
2026-03-17 02:00:00,2.855,2.855,2.855,2.855,45243.45877861
2026-03-17 03:00:00,2.846,2.816,2.846,2.816,1998861.75110024
2026-03-17 04:00:00,2.825,2.773,2.826,2.749,9698234.281358069
2026-03-17 05:00:00,2.782,2.774,2.784,2.761,3696171.75457917
2026-03-17 06:00:00,2.784,2.782,2.784,2.763,1023533.94865008
2026-03-17 07:00:00,2.782,2.785,2.785,2.782,137408.7201965
2026-03-17 08:00:00,2.786,2.815,2.818,2.785,820974.62705086
2026-03-17 09:00:00,2.812,2.819,2.824,2.811,257906.36645147
2026-03-17 10:00:00,2.819,2.826,2.826,2.818,365702.81340202
2026-03-17 11:00:00,2.827,2.837,2.848,2.827,2624567.8282569
2026-03-17 12:00:00,2.83,2.818,2.837,2.809,2270054.69593297
2026-03-17 13:00:00,2.823,2.824,2.838,2.823,1393622.02963206
2026-03-17 14:00:00,2.82,2.834,2.834,2.82,343174.37312318
2026-03-17 15:00:00,2.818,2.825,2.836,2.807,4274892.48470007
2026-03-17 17:00:00,2.806,2.825,2.825,2.805,741174.69244927
2026-03-17 18:00:00,2.834,2.834,2.834,2.834,1788.4482
2026-03-17 19:00:00,2.81,2.814,2.815,2.81,16464.58034673
2026-03-17 20:00:00,2.814,2.827,2.827,2.809,312795.13543696
2026-03-17 21:00:00,2.829,2.833,2.833,2.829,141264.51888881874
2026-03-17 22:00:00,2.833,2.836,2.836,2.829,374710.2626993792
2026-03-17 23:00:00,2.826,2.82,2.826,2.82,718878.53103851
2026-03-18 00:00:00,2.82,2.82,2.82,2.82,101914.07119527
2026-03-18 01:00:00,2.831,2.812,2.831,2.812,866499.87985618
2026-03-18 03:00:00,2.811,2.811,2.811,2.81,317988.11109508
2026-03-18 04:00:00,2.811,2.811,2.811,2.811,175192.84322099
2026-03-18 06:00:00,2.808,2.794,2.808,2.794,664269.57474065
2026-03-18 07:00:00,2.795,2.798,2.798,2.794,575353.27973717
2026-03-18 08:00:00,2.802,2.802,2.802,2.802,2000.0
2026-03-18 09:00:00,2.802,2.81,2.81,2.796,1156575.5947805
2026-03-18 11:00:00,2.809,2.808,2.809,2.808,293056.81975024
2026-03-18 12:00:00,2.807,2.783,2.808,2.764,8498921.81732119
2026-03-18 13:00:00,2.774,2.792,2.792,2.768,1234961.68145757
2026-03-18 14:00:00,2.778,2.794,2.794,2.768,1097792.56724707
2026-03-18 15:00:00,2.784,2.722,2.784,2.722,7627604.64792581
2026-03-18 16:00:00,2.72,2.722,2.722,2.694,9734980.91596778
2026-03-18 17:00:00,2.722,2.722,2.722,2.722,7396.44970415
2026-03-18 18:00:00,2.724,2.717,2.738,2.717,680369.53256456
2026-03-18 19:00:00,2.731,2.731,2.731,2.731,1844.44444
2026-03-18 20:00:00,2.736,2.713,2.736,2.713,413996.61937133
2026-03-18 21:00:00,2.713,2.702,2.713,2.693,1176867.56881961
2026-03-18 22:00:00,2.702,2.719,2.739,2.702,3143728.96675295
2026-03-18 23:00:00,2.724,2.726,2.726,2.718,14333.94064778
2026-03-19 00:00:00,2.717,2.709,2.717,2.709,178582.17175602
2026-03-19 01:00:00,2.714,2.71,2.714,2.696,849425.69551894
2026-03-19 02:00:00,2.711,2.7,2.711,2.7,554969.72251056
2026-03-19 03:00:00,2.709,2.707,2.709,2.7,383297.57767057
2026-03-19 04:00:00,2.7,2.7,2.7,2.698,482503.62599258
2026-03-19 05:00:00,2.707,2.721,2.736,2.707,892701.95640607
2026-03-19 06:00:00,2.702,2.7,2.702,2.7,382755.99797233
2026-03-19 07:00:00,2.724,2.724,2.724,2.724,1844.444444
2026-03-19 08:00:00,2.705,2.698,2.705,2.698,405716.5404
2026-03-19 09:00:00,2.695,2.696,2.708,2.693,1174550.51373961
2026-03-19 10:00:00,2.72,2.718,2.72,2.718,11033.71427144
2026-03-19 11:00:00,2.72,2.707,2.72,2.707,70368.79274071
2026-03-19 12:00:00,2.717,2.738,2.739,2.717,786864.84152151
2026-03-19 13:00:00,2.738,2.762,2.762,2.738,1134627.4724203
2026-03-19 14:00:00,2.76,2.757,2.76,2.749,790142.08484352
2026-03-19 15:00:00,2.759,2.716,2.761,2.716,1491877.8919468212
2026-03-19 16:00:00,2.714,2.693,2.714,2.681,1627819.23797847
2026-03-19 19:00:00,2.683,2.683,2.683,2.683,155096.7482
2026-03-19 21:00:00,2.682,2.682,2.682,2.682,28232.95914979
2026-03-19 22:00:00,2.694,2.694,2.694,2.694,20000.0
2026-03-19 23:00:00,2.694,2.697,2.697,2.694,135378.16006117
2026-03-20 00:00:00,2.704,2.699,2.709,2.697,534128.21064007
2026-03-20 01:00:00,2.714,2.711,2.727,2.711,470884.72901219
2026-03-20 03:00:00,2.711,2.711,2.711,2.711,177933.36879176
2026-03-20 04:00:00,2.711,2.711,2.711,2.711,3539.82300885
2026-03-20 05:00:00,2.711,2.724,2.724,2.71,98399.15071672
2026-03-20 06:00:00,2.713,2.723,2.723,2.713,311225.37200298
2026-03-20 07:00:00,2.723,2.723,2.723,2.723,2527362.95991673
2026-03-20 08:00:00,2.716,2.719,2.719,2.709,565508.51488717
2026-03-20 09:00:00,2.711,2.713,2.723,2.711,333059.46858046
2026-03-20 10:00:00,2.713,2.731,2.731,2.713,655911.21115543
2026-03-20 11:00:00,2.731,2.747,2.76,2.731,826256.52949146
2026-03-20 12:00:00,2.748,2.747,2.759,2.747,408294.38058575
2026-03-20 13:00:00,2.758,2.762,2.762,2.758,813747.16193479
2026-03-20 14:00:00,2.762,2.749,2.809,2.749,3290510.59761411
2026-03-20 15:00:00,2.755,2.727,2.755,2.727,2881913.44509152
2026-03-20 18:00:00,2.737,2.727,2.737,2.727,45279.08416876
2026-03-20 19:00:00,2.727,2.727,2.727,2.727,1836.88464365
2026-03-20 21:00:00,2.727,2.698,2.727,2.698,1939194.66843005
2026-03-20 22:00:00,2.701,2.72,2.72,2.701,160454.8765105
2026-03-20 23:00:00,2.706,2.707,2.707,2.705,109373.49610244
2026-03-21 00:00:00,2.708,2.707,2.723,2.707,29794.61820472
2026-03-21 01:00:00,2.708,2.708,2.708,2.708,100000.0
2026-03-21 02:00:00,2.707,2.707,2.707,2.707,218931.64843745
2026-03-21 03:00:00,2.708,2.714,2.714,2.708,52663.9188173
2026-03-21 05:00:00,2.715,2.716,2.716,2.715,447006.6118985
2026-03-21 06:00:00,2.724,2.724,2.724,2.724,36786.71071954
2026-03-21 07:00:00,2.738,2.739,2.739,2.738,111602.85045284
2026-03-21 08:00:00,2.747,2.753,2.755,2.747,483401.36949282
2026-03-21 09:00:00,2.75,2.755,2.755,2.75,12983.62658517
2026-03-21 12:00:00,2.75,2.759,2.759,2.742,279206.58582792286
2026-03-21 14:00:00,2.76,2.802,2.802,2.76,1447292.90279961
2026-03-21 15:00:00,2.788,2.784,2.788,2.784,754148.74080616
2026-03-21 18:00:00,2.778,2.778,2.778,2.778,1979.84161267
2026-03-21 20:00:00,2.778,2.76,2.779,2.76,800241.41016703
2026-03-21 21:00:00,2.76,2.76,2.76,2.76,394884.21197293
2026-03-21 23:00:00,2.76,2.761,2.781,2.76,283001.1858186132
2026-03-22 00:00:00,2.761,2.731,2.809,2.73,3160249.89126288
2026-03-22 01:00:00,2.73,2.719,2.73,2.718,476915.28734826
2026-03-22 02:00:00,2.729,2.729,2.729,2.729,18321.72957128
2026-03-22 03:00:00,2.723,2.715,2.723,2.715,325859.16741633
2026-03-22 04:00:00,2.732,2.819,2.819,2.732,7775987.223597984
2026-03-22 05:00:00,2.819,2.797,2.832,2.797,1354731.9410887803
2026-03-22 06:00:00,2.797,2.798,2.812,2.797,120314.55889188
2026-03-22 07:00:00,2.798,2.8,2.813,2.798,356282.32613759
2026-03-22 08:00:00,2.799,2.789,2.799,2.789,722396.94301785
2026-03-22 09:00:00,2.79,2.784,2.79,2.773,396249.90848134
2026-03-22 10:00:00,2.774,2.77,2.78,2.77,402366.83306362
2026-03-22 11:00:00,2.771,2.758,2.771,2.758,1267970.87156079
2026-03-22 12:00:00,2.758,2.757,2.758,2.757,510445.97534446
2026-03-22 13:00:00,2.754,2.749,2.754,2.749,73457.34513274
2026-03-22 15:00:00,2.755,2.754,2.755,2.751,11777.03536177
2026-03-22 17:00:00,2.754,2.742,2.754,2.742,66025.93073391223
2026-03-22 18:00:00,2.749,2.749,2.749,2.749,2500.0
2026-03-22 21:00:00,2.755,2.749,2.759,2.749,366212.43526396
2026-03-22 22:00:00,2.758,2.77,2.771,2.75,543279.83552556
2026-03-22 23:00:00,2.771,2.77,2.771,2.77,46948.43804812
2026-03-23 00:00:00,2.77,2.771,2.771,2.77,153158.23528869
2026-03-23 01:00:00,2.772,2.772,2.772,2.77,349053.33112473
2026-03-23 02:00:00,2.778,2.77,2.778,2.768,69137.31171987
2026-03-23 03:00:00,2.77,2.759,2.77,2.759,644101.42702104
2026-03-23 04:00:00,2.76,2.751,2.777,2.739,3266185.07331055
2026-03-23 05:00:00,2.75,2.748,2.755,2.743,142157.38290372
2026-03-23 06:00:00,2.756,2.732,2.756,2.732,1005302.60375789
2026-03-23 08:00:00,2.744,2.734,2.744,2.732,130926.18709847
2026-03-23 09:00:00,2.735,2.727,2.735,2.727,1113267.67293889
2026-03-23 10:00:00,2.726,2.731,2.731,2.725,195388.61658031
2026-03-23 11:00:00,2.734,2.755,2.757,2.734,1115766.03706111
2026-03-23 12:00:00,2.756,2.748,2.756,2.748,1002937.56605105
2026-03-23 14:00:00,2.751,2.749,2.762,2.749,2103235.76243438
