time,open,close,high,low,volume
2026-03-24 13:35:00,2.337,2.338,2.338,2.337,22131.2808
2026-03-24 13:45:00,2.353,2.324,2.353,2.324,146732.00697662
2026-03-24 13:50:00,2.324,2.322,2.326,2.322,609691.02051624
2026-03-24 13:55:00,2.334,2.34,2.34,2.334,60559.0
2026-03-24 14:00:00,2.355,2.381,2.381,2.331,335935.56912412
2026-03-24 14:05:00,2.38,2.346,2.38,2.346,515202.35196251
2026-03-24 14:10:00,2.348,2.346,2.348,2.346,128973.6816
2026-03-24 14:20:00,2.341,2.342,2.342,2.341,54589.208
2026-03-24 14:35:00,2.341,2.348,2.372,2.337,610831.68466578
2026-03-24 14:40:00,2.337,2.337,2.337,2.337,20000.0
2026-03-24 14:50:00,2.323,2.345,2.347,2.322,409302.93338808
2026-03-24 14:55:00,2.36,2.357,2.36,2.357,38077.0
2026-03-24 15:00:00,2.354,2.358,2.358,2.325,118353.78712296
2026-03-24 15:10:00,2.35,2.35,2.35,2.35,20833.02382342
2026-03-24 15:15:00,2.367,2.367,2.367,2.367,2000.0
2026-03-24 15:30:00,2.324,2.324,2.324,2.323,387221.057
2026-03-24 15:40:00,2.324,2.32,2.325,2.32,1853716.17987529
2026-03-24 15:45:00,2.32,2.318,2.32,2.318,97832.17099107
2026-03-24 16:05:00,2.347,2.347,2.347,2.347,3000.0
2026-03-24 16:30:00,2.345,2.345,2.345,2.345,4764.63425657
2026-03-24 17:00:00,2.329,2.342,2.344,2.318,883323.0864
2026-03-24 17:05:00,2.342,2.36,2.36,2.342,36055.4146
2026-03-24 17:10:00,2.33,2.334,2.334,2.329,302196.046
2026-03-24 17:15:00,2.326,2.335,2.335,2.326,35746.38
2026-03-24 17:20:00,2.357,2.356,2.357,2.356,18996.0
2026-03-24 17:25:00,2.358,2.355,2.358,2.355,26509.0
2026-03-24 17:35:00,2.357,2.326,2.357,2.326,176649.02232115
2026-03-24 17:50:00,2.354,2.354,2.354,2.354,2000.0
2026-03-24 18:10:00,2.35,2.35,2.351,2.345,16329.0
2026-03-24 18:50:00,2.352,2.343,2.381,2.343,430071.0987
2026-03-24 18:55:00,2.328,2.325,2.334,2.325,384529.2134
2026-03-24 19:10:00,2.358,2.359,2.359,2.358,42395.90926984952
2026-03-24 19:40:00,2.32,2.32,2.32,2.32,43657.2322
2026-03-24 19:45:00,2.32,2.32,2.32,2.32,30505.4343
2026-03-24 20:25:00,2.319,2.319,2.319,2.319,14754.1872
2026-03-24 20:55:00,2.333,2.333,2.333,2.333,4286.326618088298
2026-03-24 21:00:00,2.329,2.329,2.329,2.329,9079.91935147
2026-03-24 21:05:00,2.323,2.322,2.325,2.322,86309.4777
2026-03-24 21:15:00,2.329,2.354,2.354,2.329,11670.688
2026-03-24 21:35:00,2.323,2.319,2.324,2.319,146136.249114
2026-03-24 21:40:00,2.324,2.35,2.35,2.324,38305.300486
2026-03-24 21:45:00,2.35,2.351,2.351,2.35,218858.7994166801
2026-03-24 21:50:00,2.331,2.35,2.38,2.331,473999.8798699267
2026-03-24 21:55:00,2.353,2.359,2.359,2.353,4400.0
2026-03-24 22:15:00,2.347,2.349,2.349,2.343,262329.0
2026-03-24 22:20:00,2.342,2.342,2.342,2.342,10076.10702295
2026-03-24 22:25:00,2.342,2.355,2.355,2.342,974209.48689846
2026-03-24 22:30:00,2.346,2.345,2.346,2.345,40922.0
2026-03-24 22:35:00,2.345,2.348,2.348,2.345,53949.0
2026-03-24 22:50:00,2.32,2.317,2.32,2.317,465322.72848369
2026-03-24 22:55:00,2.317,2.317,2.317,2.317,30004.28632662
2026-03-24 23:00:00,2.317,2.317,2.317,2.317,20000.0
2026-03-24 23:20:00,2.322,2.327,2.327,2.32,901627.11467048
2026-03-24 23:25:00,2.327,2.327,2.327,2.327,15865.36452166
2026-03-24 23:30:00,2.319,2.312,2.319,2.312,488044.8138971
2026-03-24 23:35:00,2.312,2.295,2.312,2.29,3727643.19248788
2026-03-24 23:40:00,2.295,2.28,2.296,2.28,811684.80733089
2026-03-24 23:45:00,2.296,2.296,2.296,2.296,1980857.09072266
2026-03-24 23:50:00,2.296,2.296,2.296,2.296,473445.30659413
2026-03-24 23:55:00,2.295,2.308,2.308,2.276,3401626.95740897
2026-03-25 00:00:00,2.281,2.261,2.281,2.261,1509890.4138912
